구,동,상권명,면적,점포수,점포밀도
중구,신당동,청평화시장,14440,11345.0,0.7857
중구,신당동,동평화시장,8633,3292.0,0.3813
중구,신당동,테크노상가(엘리시움),10175,3841.0,0.3775
중구,신당동,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",36213,11574.0,0.3196
중랑구,신내2동,신아타운,5817,892.0,0.1533
중구,신당동,team204(팀204),4222,574.0,0.136
중구,회현동,삼익패션타운(남대문시장),17829,2403.0,0.1348
중구,회현동,남대문시장(자유상가),78068,9816.0,0.1257
종로구,창신1동,동대문상가C동,6896,800.0,0.116
영등포구,영등포동,동남상가,1854,209.0,0.1127
종로구,종로1·2·3·4가동,낙원시장(낙원지하시장(대일상가)),8689,911.0,0.1048
중구,광희동,동대문패션타운 관광특구,606058,55991.0,0.0924
중구,회현동,숭례문수입상가(남대문시장),7685,663.0,0.0863
용산구,용산2가동,신흥시장,3810,328.0,0.0861
은평구,대조동,제일시장,21253,1811.0,0.0852
강남구,청담동,청담삼익시장,7529,595.0,0.079
종로구,창신1동,동문시장,8177,645.0,0.0789
중구,을지로동,대림상가(청계상가),11005,857.0,0.0779
종로구,창신1동,동대문상가A동,4486,340.0,0.0758
종로구,창신1동,동대문상가B동,4841,359.0,0.0742
동대문구,제기동,경동시장,21323,1554.0,0.0729
중구,광희동,"평화시장(통일상가, 동화상가)",133610,8976.0,0.0672
강북구,수유1동,수유프라자,2065,137.0,0.0663
종로구,종로1·2·3·4가동,세운상가가동,17110,1119.0,0.0654
영등포구,영등포동,영신상가(제일상가),5196,332.0,0.0639
중구,소공동,롯데백화점(시청광장 지하쇼핑센터),75261,4677.0,0.0621
중구,신당동,신당역,198976,11950.0,0.0601
서대문구,신촌동,이대 앞 스타트업 상점가,7526,449.0,0.0597
용산구,이촌1동,이촌종합시장,7486,442.0,0.059
용산구,이태원1동,이태원시장,10573,621.0,0.0587
동대문구,제기동,동서시장,4579,267.0,0.0583
강남구,압구정동,신사상가,2739,150.0,0.0548
마포구,공덕동,공덕시장,7426,400.0,0.0539
강남구,개포2동,강남개포시장,25364,1314.0,0.0518
노원구,중계본동,은행사거리,61587,3183.0,0.0517
관악구,신원동,관악종합시장(신원시장),2721,137.0,0.0503
관악구,서림동,신림현대종합상가,3964,199.0,0.0502
은평구,불광2동,연서시장,21658,1060.0,0.0489
동작구,흑석동,흑석시장,2989,139.0,0.0465
서초구,서초1동,교대역(법원.검찰청),396531,18407.0,0.0464
중랑구,신내1동,동성타워프라자,4108,190.0,0.0463
영등포구,영등포동,삼구시장(로타리상가),5729,264.0,0.0461
강남구,신사동,강남시장(강남구 강남시장),3961,170.0,0.0429
종로구,종로1·2·3·4가동,종로3가역,401520,16808.0,0.0419
영등포구,당산1동,영등포구청역 2번,33508,1377.0,0.0411
마포구,서교동,홍대 걷고싶은 거리,58130,2275.0,0.0391
성동구,금호2·3가동,금남시장,11274,434.0,0.0385
노원구,중계2·3동,시영B상가(중계 그린아파트 B 상가),8516,325.0,0.0382
