상권명,점포수,총면적,점포밀도
동남상가,40.0,14832.0,0.0027
흑석시장,69.0,38857.0,0.0018
신흥시장,234.0,137160.0,0.0017
백련시장,33.0,29820.0,0.0011
만양로상점가,107.0,111888.0,0.001
공덕시장,151.0,163372.0,0.0009
이촌종합시장,219.0,299440.0,0.0007
이대 앞 스타트업 상점가,180.0,270936.0,0.0007
마포시장,199.0,271628.0,0.0007
신월중앙시장,52.0,70939.0,0.0007
삼구시장(로타리상가),63.0,91664.0,0.0007
삼성동 시장(삼성동시장),72.0,106720.0,0.0007
강남시장(강남구 강남시장),94.0,142596.0,0.0007
뚝도시장,395.0,686592.0,0.0006
길음시장,40.0,63568.0,0.0006
증산종합시장,77.0,129152.0,0.0006
대원종합시장,21.0,37104.0,0.0006
남서울상가,8.0,13564.0,0.0006
관악종합시장(신원시장),30.0,51699.0,0.0006
봉천제일종합시장,39.0,61580.0,0.0006
싸리고개근린공원,108.0,175152.0,0.0006
동대문역 3번,68.0,146576.0,0.0005
중랑역 2번,63.0,124416.0,0.0005
경희대학교(경희대),933.0,1942680.0,0.0005
인현시장,340.0,709992.0,0.0005
금남시장,198.0,405864.0,0.0005
"한양대앞상점가(한양시장, 왕십리맛골목)",482.0,929720.0,0.0005
면곡골목시장,55.0,101309.0,0.0005
태능엔터피아(태릉시장),27.0,53316.0,0.0005
구로시장,190.0,385560.0,0.0005
신동시장,20.0,36744.0,0.0005
강남시장(동작구 강남시장),28.0,57780.0,0.0005
신사상가,18.0,32868.0,0.0005
합정시장,4.0,7476.0,0.0005
team204(팀204),8.0,16888.0,0.0005
도산공원북측,92.0,231012.0,0.0004
동문시장,44.0,98124.0,0.0004
만리시장,71.0,162600.0,0.0004
청량리청과물시장,239.0,679128.0,0.0004
청량리전통시장,420.0,988448.0,0.0004
밤나무골시장,20.0,54008.0,0.0004
수일시장,83.0,188048.0,0.0004
응암시장(신응암시장),83.0,198120.0,0.0004
연서시장,282.0,779688.0,0.0004
인왕시장(홍제골목형상점가),229.0,592176.0,0.0004
서교시장,40.0,109200.0,0.0004
홍대소상공인상점가,620.0,1435640.0,0.0004
홍대 걷고싶은 거리,922.0,2325200.0,0.0004
동진시장,47.0,126821.0,0.0004
신정3동 골목시장,39.0,98679.0,0.0004
신정1동 골목시장(신정제일시장),122.0,332913.0,0.0004
영신상가(제일상가),31.0,83136.0,0.0004
우림시장,62.0,155184.0,0.0004
서원동상점가,909.0,2401040.0,0.0004
신림현대종합상가,43.0,103064.0,0.0004
양재시장,85.0,235452.0,0.0004
강남언주로,357.0,825192.0,0.0004
청담삼익시장,78.0,180696.0,0.0004
수유프라자,3.0,8260.0,0.0004
수족관거리,41.0,149168.0,0.0003
열정도,154.0,506520.0,0.0003
서울숲카페거리,363.0,1115264.0,0.0003
동대문중앙새마을금고본점,55.0,193680.0,0.0003
상계역,561.0,2228280.0,0.0003
서울과학기술대,180.0,623630.0,0.0003
충정로역 3번,138.0,533024.0,0.0003
개화산역 1번,156.0,608468.0,0.0003
대림차이나타운(대림역 12번),145.0,572288.0,0.0003
대동초등학교,146.0,561200.0,0.0003
대림썬프라자,71.0,207543.0,0.0003
안암역,289.0,1104680.0,0.0003
홍대입구역(홍대),4901.0,18476920.0,0.0003
상수역(홍대),1064.0,4082280.0,0.0003
종로신진시장,460.0,1488861.0,0.0003
창신골목시장,288.0,885168.0,0.0003
신금호역 골목형상점가,182.0,540864.0,0.0003
화양제일골목시장,145.0,521248.0,0.0003
경동광성상가(경동시장),28.0,83904.0,0.0003
청량리농수산물시장,105.0,389724.0,0.0003
동부시장,27.0,79404.0,0.0003
신아타운,56.0,168693.0,0.0003
돈암시장(돈암제일시장),238.0,711620.0,0.0003
꿈의숲 장곡 골목형상점가,79.0,255240.0,0.0003
동북프라자,50.0,194442.0,0.0003
"대림골목시장(대림시장, 양지시장)",209.0,633250.0,0.0003
연신내상점가(연빛거리),1185.0,4006240.0,0.0003
연희사러가,34.0,123838.0,0.0003
"이화여대 3,5,7길 상점가",570.0,2225520.0,0.0003
