구,동,점포수,총면적,동별_점포밀도
중랑구,신내2동,56.0,168693.0,0.0003
종로구,종로1·2·3·4가동,12372.0,75783100.0,0.0002
용산구,이촌1동,353.0,1604688.0,0.0002
용산구,용산2가동,775.0,4337560.0,0.0002
용산구,이태원1동,5998.0,32758947.0,0.0002
광진구,화양동,3463.0,22081458.0,0.0002
동대문구,회기동,1622.0,7206030.0,0.0002
강북구,삼각산동,183.0,1134222.0,0.0002
도봉구,창4동,341.0,1514288.0,0.0002
노원구,상계2동,2892.0,18944840.0,0.0002
노원구,중계4동,639.0,3372360.0,0.0002
서대문구,남가좌1동,206.0,1045541.0,0.0002
마포구,서교동,10634.0,60619536.0,0.0002
마포구,연남동,4701.0,23493645.0,0.0002
마포구,아현동,384.0,2242235.0,0.0002
관악구,서원동,1005.0,4940460.0,0.0002
서초구,서초2동,3996.0,25347960.0,0.0002
동대문구,이문2동,31.0,145820.0,0.0002
종로구,무악동,42.0,756744.0,0.0001
종로구,교남동,757.0,6457548.0,0.0001
종로구,사직동,4100.0,30772344.0,0.0001
종로구,청운효자동,901.0,8913570.0,0.0001
종로구,가회동,1210.0,13971634.0,0.0001
종로구,혜화동,2664.0,20696000.0,0.0001
종로구,종로5·6가동,1798.0,16109121.0,0.0001
종로구,창신2동,444.0,5175608.0,0.0001
종로구,창신1동,850.0,7224508.0,0.0001
종로구,숭인2동,384.0,6140804.0,0.0001
중구,소공동,7506.0,57342251.0,0.0001
중구,회현동,2056.0,27104407.0,0.0001
중구,명동,4665.0,37082892.0,0.0001
중구,필동,1564.0,10657744.0,0.0001
중구,장충동,663.0,12170708.0,0.0001
중구,다산동,944.0,11523208.0,0.0001
중구,약수동,221.0,1592596.0,0.0001
중구,신당동,1386.0,13648499.0,0.0001
중구,청구동,149.0,2489580.0,0.0001
중구,황학동,973.0,7067915.0,0.0001
중구,신당5동,658.0,6872760.0,0.0001
용산구,용문동,748.0,8682775.0,0.0001
용산구,한강로동,4224.0,67903778.0,0.0001
용산구,청파동,1193.0,18334366.0,0.0001
용산구,원효로1동,509.0,6026792.0,0.0001
용산구,남영동,1508.0,15038420.0,0.0001
용산구,이태원2동,1047.0,16302200.0,0.0001
용산구,한남동,1953.0,30875064.0,0.0001
성동구,옥수동,246.0,2401932.0,0.0001
성동구,금호4가동,470.0,3500646.0,0.0001
성동구,금호2·3가동,598.0,5578552.0,0.0001
성동구,금호1가동,215.0,1758804.0,0.0001
성동구,왕십리2동,287.0,4435664.0,0.0001
성동구,행당1동,1395.0,15697628.0,0.0001
성동구,왕십리도선동,854.0,6812336.0,0.0001
성동구,성수1가2동,2236.0,17109751.0,0.0001
성동구,사근동,749.0,7023184.0,0.0001
성동구,성수1가1동,993.0,13649846.0,0.0001
성동구,용답동,567.0,7600461.0,0.0001
성동구,성수2가1동,2254.0,24771892.0,0.0001
성동구,성수2가3동,1893.0,27603955.0,0.0001
광진구,자양4동,1154.0,14860246.0,0.0001
광진구,자양3동,205.0,3837707.0,0.0001
광진구,군자동,2343.0,25098872.0,0.0001
광진구,중곡1동,689.0,9280886.0,0.0001
광진구,자양2동,671.0,12890445.0,0.0001
광진구,자양1동,913.0,17012792.0,0.0001
