commercial_area,dinner_sales,total_sales,total_shops,dinner_per_shop,total_per_shop,dinner_index
신림초등학교,146945366.0,199658509.0,72.0,2040907.861111111,2773034.847222222,0.7359834886876773
전농1동주민센터(전농시장),191154570.0,280111093.0,120.0,1592954.75,2334259.1083333334,0.6824241337703822
유엔빌리지길,1802071133.0,2657270344.0,114.0,15807641.51754386,23309388.98245614,0.6781662758059216
도림초등학교,2918042.0,4483173.0,36.0,81056.72222222222,124532.58333333333,0.6508876637149625
상도초등학교,179881802.0,280649165.0,288.0,624589.5902777778,974476.2673611111,0.640949001220082
신풍역 2번,953620859.0,1502734756.0,96.0,9933550.614583334,15653487.041666666,0.6345902729623165
노룬산시장(노룬산골목시장),328368400.0,520084060.0,168.0,1954573.8095238095,3095738.4523809524,0.6313756280090568
삼각지역 3번,494613173.0,794008344.0,174.0,2842604.442528736,4563266.344827586,0.622931958760373
이문제일시장,424403703.0,681334165.0,120.0,3536697.525,5677784.708333333,0.6229009563904666
암사역 4번(삼성광나루아파트),1184518647.0,1915456340.0,90.0,13161318.3,21282848.222222224,0.6184002330222781
가산디지털단지역 1번 출입구,3816357106.0,6487022293.0,870.0,4386617.36321839,7456347.463218391,0.5883064576667395
신림현대종합상가,183529904.0,314172197.0,102.0,1799312.7843137255,3080119.5784313725,0.5841697825348944
노량진초등학교,2553294309.0,4379783133.0,372.0,6863694.379032258,11773610.572580645,0.5829727709031752
왕십리파출소,1929137541.0,3320403647.0,132.0,14614678.340909092,25154573.083333332,0.5809948867942561
낙원시장(낙원지하시장(대일상가)),1445866352.0,2494484918.0,78.0,18536748.102564104,31980575.871794872,0.5796252130316548
아현역 1번,1527741585.0,2653300672.0,138.0,11070591.195652174,19226816.463768117,0.5757890921003015
화랑대역 7번,1153054384.0,2007302977.0,54.0,21352858.962962963,37172277.35185185,0.5744296686707898
동작구자원봉사센터,34059880.0,59396595.0,96.0,354790.4166666667,618714.53125,0.5734315241471334
신도봉시장,401482533.0,700313630.0,96.0,4182109.71875,7294933.645833333,0.5732896173961373
서원동주민센터(신관중학교),957305236.0,1688393712.0,270.0,3545574.948148148,6253310.044444445,0.566991708862749
밤나무골시장,50445711.0,89067366.0,96.0,525476.15625,927785.0625,0.5663770387012456
큰굴다리,329355871.0,582838969.0,132.0,2495120.234848485,4415446.734848484,0.5650889671380227
강남시장(동작구 강남시장),606856473.0,1075233768.0,96.0,6321421.59375,11200351.75,0.5643949167712523
신월중학교,654102226.0,1168508251.0,246.0,2658952.138211382,4750033.540650407,0.5597754448376591
사직공원(한국사회과학도서관),71924451.0,128614901.0,318.0,226177.51886792452,404449.3742138365,0.5592233127015352
금천금빛공원(은행나무사거리서측),3925576157.0,7024561132.0,882.0,4450766.617913832,7964355.024943311,0.5588357882056509
대림갑을명가아파트,201962598.0,362014307.0,120.0,1683021.65,3016785.8916666666,0.5578856804684241
삼양사거리역 1번,51991116.0,93711664.0,120.0,433259.3,780930.5333333333,0.554798770833906
홍파초등학교,118996937.0,215226398.0,192.0,619775.7135416666,1120970.8229166667,0.5528919226720506
상도1동주민센터앞,1190164422.0,2154405196.0,108.0,11020040.944444444,19948196.259259257,0.5524329518930478
뚝섬유원지역 1번,785532662.0,1425659450.0,72.0,10910175.861111112,19800825.694444444,0.550996005392452
길음역 7번,921701403.0,1674112316.0,408.0,2259072.0661764704,4103216.4607843137,0.5505612701077578
수일시장,1203329861.0,2189585977.0,450.0,2674066.3577777776,4865746.615555556,0.5495695869630608
봉천현대시장,1463681974.0,2688000000.0,66.0,22176999.606060605,40727272.72727273,0.5445245438988096
명일전통시장,473275297.0,869168798.0,168.0,2817114.863095238,5173623.797619048,0.5445148262213618
개봉중학교,2747587374.0,5064512781.0,564.0,4871608.819148936,8979632.590425532,0.5425176108366899
월정로시장,492401788.0,908845132.0,216.0,2279637.907407407,4207616.351851852,0.5417884419058537
정릉역 2번,2255002199.0,4163900030.0,162.0,13919766.660493826,25703086.604938272,0.5415601197803012
성내전통시장,1713594495.0,3183396728.0,564.0,3038288.111702128,5644320.439716312,0.5382912157720858
중랑역 1번,2309998875.0,4292087576.0,510.0,4529409.55882353,8415857.992156863,0.5381993806269902
