commercial_area,lunch_sales,total_sales,total_shops,lunch_per_shop,total_per_shop,lunch_index
종로5가역 4번,48314615.0,50000000.0,36.0,1342072.638888889,1388888.888888889,0.9662923
한국교통안전공단 강남자동차검사소,71700881.0,79649498.0,102.0,702949.8137254902,780877.431372549,0.9002050584173173
논현종합시장,88265380.0,100244621.0,72.0,1225908.0555555555,1392286.4027777778,0.8804999123095093
언남고등학교,798389562.0,944643667.0,126.0,6336425.095238095,7497171.96031746,0.8451753712969104
구로세무서,288219565.0,344487185.0,138.0,2088547.572463768,2496283.9492753623,0.8366626613410888
청량리수산시장,2547885.0,3216037.0,78.0,32665.19230769231,41231.243589743586,0.7922436837635887
상월곡역 3번,851007449.0,1115428899.0,192.0,4432330.463541667,5809525.515625,0.7629419049147301
성수역 골목형상점가,282811040.0,372000000.0,204.0,1386328.6274509805,1823529.4117647058,0.7602447311827958
내방역 5번,276014298.0,371743979.0,90.0,3066825.533333333,4130488.6555555556,0.74248491863267
방아다리근린공원(횃불트리니티신학대학원대학교),3526803476.0,4756849476.0,120.0,29390028.966666665,39640412.3,0.7414158244430437
"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",795141352.0,1086944075.0,132.0,6023798.121212121,8234424.810606061,0.7315384206864552
자동차부품상가,183753962.0,254067765.0,168.0,1093773.5833333333,1512308.125,0.7232478390164923
더케이호텔(양재리본타워2단지아파트),3335922977.0,4648342544.0,264.0,12636071.882575758,17607358.12121212,0.7176585945254726
오금역 4번,94027534.0,131913125.0,18.0,5223751.888888889,7328506.944444444,0.7127989273243281
문래동주민센터,12941212309.0,18465278538.0,1638.0,7900618.015262515,11273063.82051282,0.7008403519268918
세명컴퓨터고등학교,110932464.0,159071455.0,144.0,770364.3333333334,1104662.8819444445,0.6973750507279889
개포지구대옆,686378250.0,988513900.0,246.0,2790155.487804878,4018349.18699187,0.6943536656388949
구로구민회관,808178581.0,1182273458.0,144.0,5612351.256944444,8210232.347222222,0.6835800766154051
삼성중앙역 7번,17100572.0,25228749.0,36.0,475015.8888888889,700798.5833333334,0.6778208463685614
경동광성상가(경동시장),52283233.0,78183245.0,168.0,311209.72023809527,465376.4583333333,0.6687268224796759
중구회현체육센터(정화예술대남산캠퍼스),1217306489.0,1827984840.0,246.0,4948400.361788617,7430832.682926829,0.6659281096663799
투구봉어린이공원,242238543.0,364047492.0,120.0,2018654.525,3033729.1,0.6654036858465707
테크노상가(엘리시움),1199213555.0,1802266319.0,36.0,33311487.638888888,50062953.30555555,0.6653919802847961
양재화물트럭터미널앞,4113918163.0,6183352119.0,816.0,5041566.37622549,7577637.400735294,0.6653216708068247
국립재활원,106045910.0,160358815.0,108.0,981906.574074074,1484803.8425925926,0.6613039015036373
총신대학교,7250371.0,11075855.0,78.0,92953.47435897436,141998.14102564103,0.6546105018529044
남부터미널역 1번,797710960.0,1223827526.0,372.0,2144384.301075269,3289858.940860215,0.6518164880694145
역삼월드메르디앙아파트,72067357.0,111778261.0,48.0,1501403.2708333333,2328713.7708333335,0.64473499905317
목동문화체육센터,38371715.0,61283652.0,96.0,399705.3645833333,638371.375,0.6261329693602463
장위동성당,9127884.0,14679288.0,18.0,507104.6666666667,815516.0,0.6218206223626105
양재근린공원(양재2동주민센터),343370807.0,555879661.0,36.0,9538077.972222222,15441101.694444444,0.6177070885851318
신설동역 9번,866765183.0,1415259885.0,312.0,2778093.5352564105,4536089.375,0.6124424158323403
경신고등학교,706227505.0,1153393080.0,360.0,1961743.0694444445,3203869.6666666665,0.6123042675095641
서울시인재개발원,404669656.0,663982226.0,114.0,3549733.8245614036,5824405.49122807,0.609458567043028
아래방죽마을공원(율현초등학교),850309136.0,1402063684.0,216.0,3936616.3703703703,6491035.574074074,0.6064696958515616
낙성대역 5번(관악중학교),14666539.0,24467399.0,72.0,203701.93055555556,339824.9861111111,0.5994318807650948
청담근린공원,70229110.0,117464879.0,72.0,975404.3055555555,1631456.6527777778,0.5978732587806096
신광명마을,559755354.0,938305234.0,120.0,4664627.95,7819210.283333333,0.5965599825269653
성수초등학교,11349840348.0,19093317049.0,2880.0,3940916.7875,6629623.975347222,0.5944404693470714
군자초등학교,240829506.0,406020134.0,72.0,3344854.25,5639168.527777778,0.5931467083354048
청계천박물관,343330933.0,583129057.0,48.0,7152727.770833333,12148522.020833334,0.5887734951269972
서초중학교,1653290691.0,2816448281.0,294.0,5623437.724489796,9579756.057823129,0.5870126222992411
