commercial_area,night_sales,total_shops,night_per_shop,total_sales,night_index
아현역 4번,411268012.0,186.0,2211118.3440860217,501399207.0,0.8202406510786525
청림동주민센터(상도중학교),72804927.0,72.0,1011179.5416666666,89446050.0,0.8139535172318956
홍제역 3번,66958369.0,192.0,348741.5052083333,96098658.0,0.6967669517299606
보광시장,41550936.0,18.0,2308385.3333333335,63712521.0,0.6521627985808316
선정릉역 4번,5955064847.0,672.0,8861703.641369049,9530098649.0,0.6248691714880485
절두산순교성지,133237419.0,72.0,1850519.7083333333,214505872.0,0.6211364647397625
화계역 2번,121839092.0,72.0,1692209.611111111,199556454.0,0.6105494939291716
용두희망어린이공원,233702246.0,72.0,3245864.527777778,383807538.0,0.6089047839388709
역촌역 2번,206981927.0,192.0,1078030.8697916667,342503876.0,0.6043199551995727
국제신학대학원대학교(남서울중학교),1120431188.0,366.0,3061287.398907104,1900383369.0,0.5895816635090749
어린이대공원역 4번,1368748695.0,426.0,3213025.1056338027,2325693586.0,0.5885335468264047
까치산역 3번,23114176038.0,4086.0,5656920.224669604,39320566064.0,0.5878393510504982
"신림역 5번(신림동주민센터, 신림동별빛거리)",10134823129.0,2424.0,4181032.6439768975,17456526452.0,0.5805750162764397
응암오거리상점가,12885471778.0,2388.0,5395926.20519263,22300815722.0,0.5778027108348481
남부초등학교,1442064165.0,936.0,1540666.842948718,2500337791.0,0.5767477379219438
상봉역 3번,17450379152.0,3000.0,5816793.050666667,30908287604.0,0.5645857633905819
중곡1동주민센터,333504743.0,120.0,2779206.191666667,591445161.0,0.5638810915894873
청계천공구상가,6599191008.0,570.0,11577528.084210526,11772423111.0,0.5605635259434228
가좌역 3번,498772785.0,468.0,1065753.814102564,891160363.0,0.5596891487867935
성신여대입구역 1번,2538910108.0,1056.0,2404270.9356060605,4562832287.0,0.5564329233037182
논현역 4번,2227450984.0,1074.0,2073976.7076350092,4107654483.0,0.5422683415118194
등촌역 1번,1191212423.0,120.0,9926770.191666666,2233035025.0,0.5334499502532434
성서초등학교,2274386854.0,822.0,2766893.98296837,4304965046.0,0.5283171476881721
건대입구역 1번,5649687136.0,1296.0,4359326.49382716,10776812790.0,0.5242447137285754
성동구보건소,1377267412.0,444.0,3101953.6306306305,2627199825.0,0.5242339767588862
독산동 맛나는거리상점가(독산동 맛나는거리),5313740266.0,1170.0,4541658.347008547,10353781663.0,0.5132173382590287
답십리 건축자재시장,62110792.0,72.0,862649.8888888889,123110434.0,0.5045128181417994
가산동우체국,5169315784.0,1320.0,3916148.3212121213,10367696594.0,0.4985982891312222
중랑동부시장(중랑교종합상가),50939140.0,24.0,2122464.1666666665,102722375.0,0.495891377122073
