commercial_area,age,total_sales
4.19민주묘지역 2번,TEENS,48561892.0
4.19민주묘지역 2번,TWENTIES,870932433.0
4.19민주묘지역 2번,THIRTIES,1591229826.0
4.19민주묘지역 2번,FORTIES,1831882069.0
4.19민주묘지역 2번,FIFTIES,2800109529.0
4.19민주묘지역 2번,SIXTIES_PLUS,3113638067.0
63빌딩,TEENS,6086401.0
63빌딩,TWENTIES,548404791.0
63빌딩,THIRTIES,3080638102.0
63빌딩,FORTIES,2293254445.0
63빌딩,FIFTIES,1576233946.0
63빌딩,SIXTIES_PLUS,2068934190.0
DMC(디지털미디어시티),TEENS,249643205.0
DMC(디지털미디어시티),TWENTIES,9533579736.0
DMC(디지털미디어시티),THIRTIES,19441916176.0
DMC(디지털미디어시티),FORTIES,15285989187.0
DMC(디지털미디어시티),FIFTIES,8979369463.0
DMC(디지털미디어시티),SIXTIES_PLUS,3288027044.0
GS강동자이아파트,TEENS,14292652.0
GS강동자이아파트,TWENTIES,371342537.0
GS강동자이아파트,THIRTIES,965827618.0
GS강동자이아파트,FORTIES,1027363583.0
GS강동자이아파트,FIFTIES,1360880827.0
GS강동자이아파트,SIXTIES_PLUS,1066142407.0
G타워,TEENS,1179265.0
G타워,TWENTIES,168161412.0
G타워,THIRTIES,469938079.0
G타워,FORTIES,326800840.0
G타워,FIFTIES,157450405.0
G타워,SIXTIES_PLUS,71848622.0
KB국민은행 망원동지점,TEENS,34737796.0
KB국민은행 망원동지점,TWENTIES,1522666506.0
KB국민은행 망원동지점,THIRTIES,2674941121.0
KB국민은행 망원동지점,FORTIES,2203410684.0
KB국민은행 망원동지점,FIFTIES,2457268874.0
KB국민은행 망원동지점,SIXTIES_PLUS,1532786182.0
KB국민은행 서강지점,TEENS,9940884.0
KB국민은행 서강지점,TWENTIES,262737851.0
KB국민은행 서강지점,THIRTIES,705426289.0
KB국민은행 서강지점,FORTIES,936667882.0
KB국민은행 서강지점,FIFTIES,769833636.0
KB국민은행 서강지점,SIXTIES_PLUS,548430001.0
KB국민은행 종암동지점,TEENS,4529204.0
KB국민은행 종암동지점,TWENTIES,112927405.0
KB국민은행 종암동지점,THIRTIES,148597206.0
KB국민은행 종암동지점,FORTIES,276356584.0
KB국민은행 종암동지점,FIFTIES,546459184.0
KB국민은행 종암동지점,SIXTIES_PLUS,582934238.0
KB국민은행 중화동지점,TEENS,3111726.0
KB국민은행 중화동지점,TWENTIES,97063435.0
KB국민은행 중화동지점,THIRTIES,186944596.0
KB국민은행 중화동지점,FORTIES,271015878.0
KB국민은행 중화동지점,FIFTIES,524530774.0
KB국민은행 중화동지점,SIXTIES_PLUS,789023140.0
KC대학교,TEENS,1356581.0
KC대학교,TWENTIES,18656295.0
KC대학교,THIRTIES,30880668.0
KC대학교,FORTIES,29203510.0
KC대학교,FIFTIES,47417477.0
KC대학교,SIXTIES_PLUS,52606720.0
KT&G 북부지사,TEENS,1537360.0
KT&G 북부지사,TWENTIES,103804638.0
KT&G 북부지사,THIRTIES,268597461.0
KT&G 북부지사,FORTIES,370005996.0
KT&G 북부지사,FIFTIES,556534267.0
KT&G 북부지사,SIXTIES_PLUS,423749582.0
KT구로지사,TEENS,2828856.0
KT구로지사,TWENTIES,388205969.0
KT구로지사,THIRTIES,651143586.0
KT구로지사,FORTIES,437353157.0
