commercial_area,week,total_sales
4.19민주묘지역 2번,MONDAY,1147290610.0
4.19민주묘지역 2번,TUESDAY,1417891531.0
4.19민주묘지역 2번,WEDNESDAY,1575200321.0
4.19민주묘지역 2번,THURSDAY,1106345644.0
4.19민주묘지역 2번,FRIDAY,1464090632.0
4.19민주묘지역 2번,SATURDAY,2033890096.0
4.19민주묘지역 2번,SUNDAY,2121831541.0
63빌딩,MONDAY,2851925813.0
63빌딩,TUESDAY,2941603435.0
63빌딩,WEDNESDAY,2950822195.0
63빌딩,THURSDAY,2864699964.0
63빌딩,FRIDAY,2778639816.0
63빌딩,SATURDAY,2647180104.0
63빌딩,SUNDAY,1736298023.0
DMC(디지털미디어시티),MONDAY,14935936403.0
DMC(디지털미디어시티),TUESDAY,16406875469.0
DMC(디지털미디어시티),WEDNESDAY,15597595925.0
DMC(디지털미디어시티),THURSDAY,16729096684.0
DMC(디지털미디어시티),FRIDAY,14853013681.0
DMC(디지털미디어시티),SATURDAY,6508215979.0
DMC(디지털미디어시티),SUNDAY,4401786356.0
GS강동자이아파트,MONDAY,659891164.0
GS강동자이아파트,TUESDAY,664135465.0
GS강동자이아파트,WEDNESDAY,726145175.0
GS강동자이아파트,THURSDAY,664761813.0
GS강동자이아파트,FRIDAY,812910563.0
GS강동자이아파트,SATURDAY,908329376.0
GS강동자이아파트,SUNDAY,847873650.0
G타워,MONDAY,258165986.0
G타워,TUESDAY,274541283.0
G타워,WEDNESDAY,298284675.0
G타워,THURSDAY,306298837.0
G타워,FRIDAY,290724340.0
G타워,SATURDAY,84320754.0
G타워,SUNDAY,53026897.0
KB국민은행 망원동지점,MONDAY,1461044057.0
KB국민은행 망원동지점,TUESDAY,1516430251.0
KB국민은행 망원동지점,WEDNESDAY,1602219033.0
KB국민은행 망원동지점,THURSDAY,1501924451.0
KB국민은행 망원동지점,FRIDAY,1883278640.0
KB국민은행 망원동지점,SATURDAY,2188741947.0
KB국민은행 망원동지점,SUNDAY,1526179266.0
KB국민은행 서강지점,MONDAY,495242063.0
KB국민은행 서강지점,TUESDAY,546345352.0
KB국민은행 서강지점,WEDNESDAY,530889748.0
KB국민은행 서강지점,THURSDAY,574352352.0
KB국민은행 서강지점,FRIDAY,562225677.0
KB국민은행 서강지점,SATURDAY,524962415.0
KB국민은행 서강지점,SUNDAY,417496531.0
KB국민은행 종암동지점,MONDAY,250320357.0
KB국민은행 종암동지점,TUESDAY,281819567.0
KB국민은행 종암동지점,WEDNESDAY,245291005.0
KB국민은행 종암동지점,THURSDAY,258713422.0
KB국민은행 종암동지점,FRIDAY,272417918.0
KB국민은행 종암동지점,SATURDAY,263042142.0
KB국민은행 종암동지점,SUNDAY,187938672.0
KB국민은행 중화동지점,MONDAY,321843850.0
KB국민은행 중화동지점,TUESDAY,311455478.0
KB국민은행 중화동지점,WEDNESDAY,321667803.0
KB국민은행 중화동지점,THURSDAY,285767965.0
KB국민은행 중화동지점,FRIDAY,335350332.0
KB국민은행 중화동지점,SATURDAY,329586450.0
KB국민은행 중화동지점,SUNDAY,92724595.0
KC대학교,MONDAY,20621811.0
KC대학교,TUESDAY,32153871.0
KC대학교,WEDNESDAY,30399475.0
KC대학교,THURSDAY,19186310.0
KC대학교,FRIDAY,25519679.0
KC대학교,SATURDAY,37277303.0
KC대학교,SUNDAY,32434080.0
KT&G 북부지사,MONDAY,43898306.0
KT&G 북부지사,TUESDAY,229321360.0
KT&G 북부지사,WEDNESDAY,257932101.0
KT&G 북부지사,THURSDAY,256466015.0
KT&G 북부지사,FRIDAY,291580746.0
KT&G 북부지사,SATURDAY,378460566.0
KT&G 북부지사,SUNDAY,392369491.0
KT구로지사,MONDAY,332426621.0
KT구로지사,TUESDAY,320647803.0
KT구로지사,WEDNESDAY,351769966.0
KT구로지사,THURSDAY,371492597.0
KT구로지사,FRIDAY,383978555.0
KT구로지사,SATURDAY,477162593.0
KT구로지사,SUNDAY,272767841.0
KT금천빌딩(금천구시설관리공단),MONDAY,442318729.0
KT금천빌딩(금천구시설관리공단),TUESDAY,422463460.0
KT금천빌딩(금천구시설관리공단),WEDNESDAY,359024588.0
KT금천빌딩(금천구시설관리공단),THURSDAY,419134020.0
KT금천빌딩(금천구시설관리공단),FRIDAY,398723272.0
KT금천빌딩(금천구시설관리공단),SATURDAY,413594650.0
KT금천빌딩(금천구시설관리공단),SUNDAY,321072805.0
KT대방빌딩,MONDAY,46049138.0
KT대방빌딩,TUESDAY,43682409.0
KT대방빌딩,WEDNESDAY,48972438.0
KT대방빌딩,THURSDAY,72603409.0
KT대방빌딩,FRIDAY,64190720.0
KT대방빌딩,SATURDAY,33735112.0
KT대방빌딩,SUNDAY,30388511.0
KT월곡지사,MONDAY,408534457.0
KT월곡지사,TUESDAY,376157423.0
KT월곡지사,WEDNESDAY,449160464.0
KT월곡지사,THURSDAY,414951567.0
KT월곡지사,FRIDAY,442099147.0
KT월곡지사,SATURDAY,735564168.0
KT월곡지사,SUNDAY,661337478.0
NH농협은행 보광동지점,MONDAY,121360207.0
NH농협은행 보광동지점,TUESDAY,152108407.0
NH농협은행 보광동지점,WEDNESDAY,142664548.0
NH농협은행 보광동지점,THURSDAY,123074245.0
NH농협은행 보광동지점,FRIDAY,136224121.0
NH농협은행 보광동지점,SATURDAY,162577546.0
NH농협은행 보광동지점,SUNDAY,162888406.0
NH농협은행 상도동지점,MONDAY,1378287821.0
NH농협은행 상도동지점,TUESDAY,1479523351.0
NH농협은행 상도동지점,WEDNESDAY,1456984064.0
NH농협은행 상도동지점,THURSDAY,1463524720.0
NH농협은행 상도동지점,FRIDAY,1685407184.0
NH농협은행 상도동지점,SATURDAY,2344111230.0
NH농협은행 상도동지점,SUNDAY,2160331729.0
Sh수협은행 오금동금융센터(아랫말어린이공원),MONDAY,166107744.0
Sh수협은행 오금동금융센터(아랫말어린이공원),TUESDAY,184890261.0
Sh수협은행 오금동금융센터(아랫말어린이공원),WEDNESDAY,171140041.0
Sh수협은행 오금동금융센터(아랫말어린이공원),THURSDAY,161837414.0
Sh수협은행 오금동금융센터(아랫말어린이공원),FRIDAY,171348841.0
Sh수협은행 오금동금융센터(아랫말어린이공원),SATURDAY,164583910.0
Sh수협은행 오금동금융센터(아랫말어린이공원),SUNDAY,59821706.0
가락시장,MONDAY,7050445399.0
가락시장,TUESDAY,7820984294.0
가락시장,WEDNESDAY,8141071599.0
가락시장,THURSDAY,8901537771.0
가락시장,FRIDAY,10623461434.0
가락시장,SATURDAY,12635015387.0
가락시장,SUNDAY,6781706924.0
가락시장역,MONDAY,8333764861.0
가락시장역,TUESDAY,8948312542.0
가락시장역,WEDNESDAY,9108896839.0
가락시장역,THURSDAY,9484216423.0
가락시장역,FRIDAY,10546706372.0
가락시장역,SATURDAY,9923612358.0
가락시장역,SUNDAY,6162943517.0
가로수길,MONDAY,15041777706.0
가로수길,TUESDAY,16757373370.0
가로수길,WEDNESDAY,17554931321.0
가로수길,THURSDAY,18174457628.0
가로수길,FRIDAY,22694974587.0
가로수길,SATURDAY,25189098280.0
가로수길,SUNDAY,16895152623.0
가리봉시장,MONDAY,61377835.0
가리봉시장,TUESDAY,57610081.0
가리봉시장,WEDNESDAY,54070239.0
가리봉시장,THURSDAY,54151366.0
가리봉시장,FRIDAY,55508379.0
가리봉시장,SATURDAY,94146889.0
가리봉시장,SUNDAY,134424630.0
가리봉파출소,MONDAY,204611514.0
가리봉파출소,TUESDAY,222604424.0
가리봉파출소,WEDNESDAY,223740761.0
가리봉파출소,THURSDAY,230497489.0
가리봉파출소,FRIDAY,224692103.0
가리봉파출소,SATURDAY,188224114.0
가리봉파출소,SUNDAY,182561746.0
가산동우체국,MONDAY,1246013552.0
가산동우체국,TUESDAY,1426627616.0
가산동우체국,WEDNESDAY,1476866036.0
가산동우체국,THURSDAY,1475302865.0
가산동우체국,FRIDAY,1698190749.0
가산동우체국,SATURDAY,1691293274.0
가산동우체국,SUNDAY,1353402502.0
가산동주민센터,MONDAY,1814239337.0
가산동주민센터,TUESDAY,1987062338.0
가산동주민센터,WEDNESDAY,2031650585.0
가산동주민센터,THURSDAY,2065111994.0
가산동주민센터,FRIDAY,2486783967.0
가산동주민센터,SATURDAY,2239827166.0
가산동주민센터,SUNDAY,1624374944.0
가산디지털단지,MONDAY,48403899653.0
가산디지털단지,TUESDAY,53092351405.0
가산디지털단지,WEDNESDAY,50308935222.0
가산디지털단지,THURSDAY,54397556290.0
가산디지털단지,FRIDAY,51167431230.0
가산디지털단지,SATURDAY,14218797722.0
가산디지털단지,SUNDAY,8615127149.0
가산디지털단지역 1번 출입구,MONDAY,950758957.0
가산디지털단지역 1번 출입구,TUESDAY,1101869321.0
가산디지털단지역 1번 출입구,WEDNESDAY,1115344707.0
가산디지털단지역 1번 출입구,THURSDAY,1454786435.0
가산디지털단지역 1번 출입구,FRIDAY,1220294140.0
가산디지털단지역 1번 출입구,SATURDAY,463180403.0
가산디지털단지역 1번 출입구,SUNDAY,180788330.0
가산초등학교(세일중학교),MONDAY,884805912.0
가산초등학교(세일중학교),TUESDAY,964844911.0
가산초등학교(세일중학교),WEDNESDAY,851604698.0
가산초등학교(세일중학교),THURSDAY,951042469.0
가산초등학교(세일중학교),FRIDAY,897419213.0
가산초등학교(세일중학교),SATURDAY,1003497062.0
가산초등학교(세일중학교),SUNDAY,740545331.0
가양역 10번,MONDAY,875797329.0
가양역 10번,TUESDAY,933808210.0
가양역 10번,WEDNESDAY,933324116.0
가양역 10번,THURSDAY,946620903.0
가양역 10번,FRIDAY,981013952.0
가양역 10번,SATURDAY,962286882.0
가양역 10번,SUNDAY,975012878.0
가오리역 1번,MONDAY,291687542.0
가오리역 1번,TUESDAY,369425593.0
가오리역 1번,WEDNESDAY,321142425.0
가오리역 1번,THURSDAY,402239176.0
가오리역 1번,FRIDAY,419609208.0
가오리역 1번,SATURDAY,365120909.0
가오리역 1번,SUNDAY,263624107.0
가오리역 2번,MONDAY,497527944.0
가오리역 2번,TUESDAY,486923159.0
가오리역 2번,WEDNESDAY,527531285.0
가오리역 2번,THURSDAY,517897957.0
가오리역 2번,FRIDAY,577024122.0
가오리역 2번,SATURDAY,513903911.0
가오리역 2번,SUNDAY,406453673.0
가인초등학교,MONDAY,621441065.0
가인초등학교,TUESDAY,596656680.0
가인초등학교,WEDNESDAY,661865431.0
가인초등학교,THURSDAY,468641521.0
가인초등학교,FRIDAY,705399537.0
가인초등학교,SATURDAY,587212780.0
가인초등학교,SUNDAY,421742447.0
가좌역 2번,MONDAY,343176703.0
가좌역 2번,TUESDAY,389766771.0
가좌역 2번,WEDNESDAY,391603644.0
가좌역 2번,THURSDAY,396078356.0
가좌역 2번,FRIDAY,473833599.0
가좌역 2번,SATURDAY,449747432.0
가좌역 2번,SUNDAY,353644588.0
가좌역 3번,MONDAY,119739056.0
가좌역 3번,TUESDAY,130372008.0
가좌역 3번,WEDNESDAY,105668475.0
가좌역 3번,THURSDAY,127838214.0
가좌역 3번,FRIDAY,143758360.0
가좌역 3번,SATURDAY,156706104.0
가좌역 3번,SUNDAY,107078146.0
간데메공원,MONDAY,646784354.0
간데메공원,TUESDAY,650882844.0
간데메공원,WEDNESDAY,688922637.0
간데메공원,THURSDAY,686816823.0
간데메공원,FRIDAY,734374576.0
간데메공원,SATURDAY,832358543.0
간데메공원,SUNDAY,514804730.0
갈산공원,MONDAY,418796907.0
갈산공원,TUESDAY,439134267.0
갈산공원,WEDNESDAY,472847375.0
갈산공원,THURSDAY,434300990.0
갈산공원,FRIDAY,468473380.0
갈산공원,SATURDAY,632101205.0
갈산공원,SUNDAY,569868146.0
갈현건영아파트,MONDAY,28900274.0
갈현건영아파트,TUESDAY,36295604.0
갈현건영아파트,WEDNESDAY,27010303.0
갈현건영아파트,THURSDAY,23362240.0
갈현건영아파트,FRIDAY,40247794.0
갈현건영아파트,SATURDAY,23822097.0
갈현건영아파트,SUNDAY,6800278.0
강남 마이스 관광특구,MONDAY,15023442900.0
강남 마이스 관광특구,TUESDAY,17041210317.0
강남 마이스 관광특구,WEDNESDAY,18975095411.0
강남 마이스 관광특구,THURSDAY,19822691251.0
강남 마이스 관광특구,FRIDAY,21441070885.0
강남 마이스 관광특구,SATURDAY,23814545621.0
강남 마이스 관광특구,SUNDAY,21535266950.0
강남개포시장,MONDAY,3301680878.0
강남개포시장,TUESDAY,3510834851.0
강남개포시장,WEDNESDAY,3627969203.0
강남개포시장,THURSDAY,3698938167.0
강남개포시장,FRIDAY,4508021211.0
강남개포시장,SATURDAY,4759211910.0
강남개포시장,SUNDAY,4000482154.0
강남골목시장,MONDAY,371731400.0
강남골목시장,TUESDAY,469861075.0
강남골목시장,WEDNESDAY,439483005.0
강남골목시장,THURSDAY,476252384.0
강남골목시장,FRIDAY,486212631.0
강남골목시장,SATURDAY,597219356.0
