commercial_area,total_sales,total_shops,avg_sales_per_shop
동서시장,434322864236.0,1578.0,275236289.1229
영등포시장역 3번,77787822091.0,348.0,223528224.3994
가락시장,1726507007884.0,7800.0,221347052.2928
청량리종합시장,713019870967.0,3696.0,192916631.7551
한국상담대학원대학교,16904875578.0,108.0,156526625.7222
남정초등학교,162751183770.0,1056.0,154120439.1761
신우어린이공원,48629548675.0,318.0,152923109.0409
청량리청과물시장,684099564894.0,5298.0,129124115.684
독산동 우시장,660748064293.0,5436.0,121550416.5366
강동성심병원,17149401743.0,144.0,119093067.6597
노량진역(노량진),4377254155412.0,36840.0,118817973.8168
휘문고교사거리,153463259891.0,1446.0,106129501.9993
강서농산물도매시장,419088481257.0,4218.0,99357155.3478
아현역 4번,55696489283.0,582.0,95698435.1942
투구봉어린이공원,18128109119.0,192.0,94417234.9948
영등포청과시장(조광시장),531157516242.0,6174.0,86031343.7386
경동광성상가(경동시장),279302556400.0,3276.0,85257190.5983
삼성중앙역 5번,41827293877.0,510.0,82014301.7196
방현초등학교(방배119안전센터),58557241091.0,720.0,81329501.5153
성수역 골목형상점가,21101855450.0,276.0,76455998.0072
잠원역,12895329867.0,174.0,74111091.1897
신림역 1번,9271427956.0,126.0,73582761.5556
신구중학교,15002598548.0,216.0,69456474.7593
서초소방서,11188423921.0,162.0,69064345.1914
논현역 5번,24840754549.0,366.0,67870914.0683
문래역 3번,1184937003.0,18.0,65829833.5
영진시장A동,15139706908.0,234.0,64699602.1709
KC대학교,12659292377.0,204.0,62055354.7892
아차산역 5번,12885837299.0,216.0,59656654.162
63빌딩,102483369127.0,1734.0,59102289.0006
경동시장,357739020871.0,6348.0,56354603.1618
청량리수산시장,127949090487.0,2352.0,54400123.5064
영일시장,164084221052.0,3024.0,54260655.1098
청량리농수산물시장,266769961119.0,4986.0,53503802.8718
제기동역 1번,13887916716.0,264.0,52605745.1364
매봉역 1번,6308295405.0,126.0,50065836.5476
한일병원,26008154885.0,528.0,49257869.1004
동대문문구완구거리(동대문문구완구시장),121363331924.0,2502.0,48506527.5476
답십리 건축자재시장,29959466977.0,636.0,47106080.1525
중계초등학교,57879985776.0,1230.0,47056899.0049
한림대학교한강성심병원,3201376010.0,72.0,44463555.6944
대림3동사거리,312621142790.0,7182.0,43528424.2258
용산전자상가(용산역),2481580235065.0,60792.0,40820835.5551
원남동사거리,93172347441.0,2304.0,40439386.9102
중부시장(신중부시장),218598443792.0,5418.0,40346704.2805
독립문역 1번,21898651840.0,546.0,40107420.9524
고척중학교,1831961340.0,48.0,38165861.25
북창동(시청역_6번),245554339132.0,6618.0,37104010.1439
경향신문사,15188690782.0,414.0,36687658.8937
방아다리근린공원(횃불트리니티신학대학원대학교),7472689561.0,204.0,36630831.1814
석관시장,647532267.0,18.0,35974014.8333
고덕 골목형상점가,59737708275.0,1662.0,35943266.1101
을지로4가역,149505180883.0,4164.0,35904222.1141
인왕시장(홍제골목형상점가),143215965122.0,4014.0,35679114.3802
은마아파트,547435051704.0,15834.0,34573389.6491
양재천카페거리,104669800457.0,3060.0,34205817.1428
은곡마을(은곡마을공원),8148246017.0,240.0,33951025.0708
국기원,9327117142.0,276.0,33793902.6884
충정로역 6번,29890813826.0,894.0,33434914.7942
시청역_1번,65529319192.0,1962.0,33399245.2559
교육개발원입구사거리,97882190053.0,2958.0,33090666.0085
올림픽대교북단,129854358274.0,3936.0,32991452.8135
반포4동주민센터(몽마르뜨공원),4686368249.0,144.0,32544223.9514
마포FM,29176185963.0,900.0,32417984.4033
시청역_8번,132374042502.0,4110.0,32207796.2292
봉천현대시장,6869590931.0,216.0,31803661.7176
오류고등학교,5304601808.0,168.0,31575010.7619
강남골목시장,18736290420.0,594.0,31542576.4646
만리시장,15274049461.0,486.0,31428085.3107
신곡종합시장(신월6동 골목시장),61011485614.0,1944.0,31384509.0607
영동전통시장,121089665933.0,3864.0,31337905.2622
서빙고동주민센터,6489407857.0,210.0,30901942.1762
신당 미래유산 먹거리 골목형상점가,9582520932.0,312.0,30713208.1154
잠실역,1280755861216.0,41754.0,30673848.2832
서울시청,173837097679.0,5904.0,29443952.8589
방이역 1번,97479865959.0,3330.0,29273233.0207
유진상가,31614816996.0,1080.0,29272978.7
먹골파출소,7687644715.0,282.0,27261151.4716
천호공원(해공체육문화센터),93440532270.0,3432.0,27226262.3164
잠실 관광특구,1441904433132.0,53598.0,26902205.9243
학동초등학교,4023719114.0,150.0,26824794.0933
신신림시장(삼성동시장),1442264290.0,54.0,26708597.963
바우뫼공원,20592592869.0,774.0,26605417.1434
대치역,257649719370.0,9690.0,26589238.3251
수서역,204733270794.0,7710.0,26554250.4272
동북프라자,13675596009.0,516.0,26503093.0407
고덕역,307055858010.0,11634.0,26392973.8706
가산디지털단지,3004121701306.0,114696.0,26192035.4791
구산역,126644291983.0,4890.0,25898628.2174
신도봉시장,6664316658.0,258.0,25830684.7209
정릉역 2번,4163900030.0,162.0,25703086.6049
청와대사랑채,3695753089.0,144.0,25664952.0069
영중로,85256030018.0,3336.0,25556363.9143
대림상가(청계상가),95288076035.0,3756.0,25369562.3096
청량종합도매시장,55177756111.0,2178.0,25334139.6286
