dong,total_sales,total_shops,avg_sales_per_shop
신정7동,3435522270.0,72.0,47715587.0833
삼성1동,274665740863.0,9210.0,29822556.0112
가락1동,61954222808.0,2100.0,29502010.861
대치1동,41261655414.0,1458.0,28300175.1811
수서동,55776823724.0,2010.0,27749663.5443
염창동,5102353701.0,192.0,26574758.8594
명일2동,78077020252.0,3084.0,25316802.9351
대치2동,173895076054.0,6900.0,25202184.9354
소공동,1044816847048.0,44592.0,23430589.5014
내곡동,5627302856.0,252.0,22330566.8889
여의동,753694213597.0,35142.0,21447106.4139
서초2동,506109956304.0,23832.0,21236570.8419
도곡2동,80262849917.0,3810.0,21066364.8076
무악동,4437101484.0,216.0,20542136.5
개포2동,38960341776.0,1932.0,20165808.3727
명동,552023600106.0,27588.0,20009554.8828
도곡1동,150175939938.0,7542.0,19911951.7287
방이2동,615278280691.0,33078.0,18600830.7845
가회동,129785233097.0,7122.0,18223144.2147
구로3동,270839083202.0,15054.0,17991170.6657
삼성2동,361975890704.0,20124.0,17987273.4399
남영동,154503155173.0,8592.0,17982210.7976
암사2동,46824054176.0,2610.0,17940250.6421
대방동,79184439861.0,4446.0,17810265.3758
상계9동,17574239754.0,1044.0,16833562.9828
대치4동,396686148330.0,23580.0,16822991.8715
중계2·3동,25242286623.0,1506.0,16761146.496
영등포동,274184739068.0,16446.0,16671819.2307
회현동,193754775872.0,11700.0,16560237.254
잠원동,169641764729.0,10266.0,16524621.5399
서초1동,301790184664.0,18348.0,16448124.3004
노량진1동,131953519224.0,8298.0,15901846.1345
서초3동,215178664384.0,13674.0,15736336.4329
강일동,7226879114.0,462.0,15642595.4848
창4동,28772231432.0,1854.0,15519002.9299
종로1·2·3·4가동,1127671487541.0,73098.0,15426844.6133
서원동,87910068983.0,5724.0,15358153.2116
중계4동,54297514671.0,3618.0,15007604.9395
도화동,154095939131.0,10278.0,14992794.2334
약수동,16894257287.0,1128.0,14977178.4459
을지로동,205298105568.0,13740.0,14941637.9598
이촌1동,22267402386.0,1500.0,14844934.924
방화3동,13454896786.0,912.0,14753176.3004
사당2동,159683391812.0,10932.0,14606969.6132
일원1동,46485880150.0,3186.0,14590671.7357
방배2동,172372712165.0,11814.0,14590546.1457
논현1동,436840825042.0,30138.0,14494685.2824
삼청동,55102211721.0,3816.0,14439782.9458
잠실본동,280093627010.0,19416.0,14425918.1608
잠실6동,165175162346.0,11484.0,14383068.8215
사직동,345151799653.0,24012.0,14374137.9166
청담동,303468328528.0,21186.0,14324003.0458
당산2동,105515514077.0,7404.0,14251149.9294
거여2동,28196819699.0,1980.0,14240818.0298
구의3동,74215897655.0,5226.0,14201281.6026
용강동,85544830596.0,6138.0,13936922.5474
영등포본동,34355461486.0,2496.0,13764207.3261
압구정동,368621290477.0,26820.0,13744268.847
중림동,41009614114.0,3000.0,13669871.3713
상계2동,232143649713.0,17106.0,13570890.3141
마장동,43396684507.0,3222.0,13468865.4584
교남동,59128017911.0,4410.0,13407713.812
방배본동,55282719982.0,4134.0,13372694.7223
다산동,66062831107.0,5004.0,13202004.6177
가산동,312079389798.0,23658.0,13191283.701
방배4동,64259769818.0,4896.0,13124952.9857
양재2동,177684128174.0,13632.0,13034340.3884
사당1동,99865413630.0,7668.0,13023658.5329
역삼1동,597424529822.0,45960.0,12998793.0771
상계1동,71114191868.0,5514.0,12897024.2778
이태원1동,450449268312.0,34962.0,12883967.4021
녹번동,43924121239.0,3414.0,12865882.0267
혜화동,195516900239.0,15210.0,12854497.0571
한남동,137763895846.0,10842.0,12706502.1072
성수2가3동,136724031833.0,10764.0,12701972.4854
원효로1동,30965448643.0,2442.0,12680363.8997
장충동,44031914373.0,3474.0,12674701.8921
응암1동,60834838954.0,4818.0,12626575.1254
신대방2동,82544226133.0,6540.0,12621441.3047
방배1동,59823014634.0,4770.0,12541512.5019
양재1동,104317889458.0,8334.0,12517145.3633
광장동,27731354194.0,2220.0,12491600.9883
고덕2동,21667436469.0,1746.0,12409757.4278
반포4동,117925264056.0,9534.0,12368917.9836
신길6동,34404971417.0,2814.0,12226358.0018
필동,111046737288.0,9174.0,12104505.9176
논현2동,206340820924.0,17082.0,12079429.8632
정릉2동,11608046450.0,966.0,12016611.2319
창1동,27374380158.0,2286.0,11974794.4698
명일1동,59754130803.0,5076.0,11771893.3812
송중동,74007862663.0,6306.0,11736102.5473
창5동,48739781108.0,4224.0,11538773.9366
신림동,119873406230.0,10458.0,11462364.3364
가락2동,30848822675.0,2694.0,11450936.405
문래동,121932964796.0,10710.0,11384964.0332
화양동,226352484653.0,19896.0,11376783.5069
상봉2동,106462893300.0,9378.0,11352409.1811
군자동,150841583996.0,13296.0,11344884.4762
불광1동,55022007940.0,4878.0,11279624.4239
세곡동,16218362510.0,1440.0,11262751.7431
신길1동,34323643986.0,3054.0,11238914.2063
수유3동,215692683459.0,19206.0,11230484.4038
신길7동,4972044107.0,444.0,11198297.5383
청룡동,127604174886.0,11400.0,11193348.6742
상암동,166958559284.0,14928.0,11184255.0431
광희동,217896418239.0,19566.0,11136482.584
상도3동,19218308621.0,1734.0,11083222.9648
신사동,257453195943.0,23424.0,10991000.5099
성산2동,30885713711.0,2820.0,10952380.7486
종로5·6가동,106303349412.0,9720.0,10936558.5815
개봉2동,10990230322.0,1008.0,10903006.2718
양평2동,68655089847.0,6300.0,10897633.309
신정4동,107550897777.0,10008.0,10746492.5836
동선동,136487031385.0,12714.0,10735176.2927
왕십리도선동,51333403534.0,4800.0,10694459.0696
고척1동,26242762487.0,2460.0,10667789.6289
용답동,32256942053.0,3024.0,10666978.1921
발산1동,34624224436.0,3252.0,10647055.4846
서교동,664898149036.0,62484.0,10641094.5048
석촌동,124252633749.0,11724.0,10598143.445
개포4동,17805417674.0,1686.0,10560745.9514
연희동,82103883183.0,7776.0,10558626.9525
묵1동,15558111523.0,1476.0,10540725.9641
석관동,68060608437.0,6462.0,10532437.084
목2동,23419162646.0,2244.0,10436346.9902
천호2동,172881318090.0,16602.0,10413282.622
신당동,75683982466.0,7272.0,10407588.3479
행당1동,81574129182.0,7842.0,10402209.7911
성내1동,58947091738.0,5724.0,10298234.0563
쌍문3동,31120257888.0,3048.0,10210058.3622
방이1동,62408834116.0,6120.0,10197521.9144
성수1가2동,115706691825.0,11352.0,10192626.1298
가락본동,139007981510.0,13680.0,10161402.1572
신내1동,42295069679.0,4170.0,10142702.5609
홍제1동,34028952203.0,3366.0,10109611.4685
안암동,100057725997.0,9918.0,10088498.2856
삼전동,30385445832.0,3018.0,10068073.503
문정1동,29539064169.0,2946.0,10026837.8035
중곡2동,58261798308.0,5886.0,9898368.7238
오금동,45073360609.0,4554.0,9897531.9739
한강로동,231229826720.0,23400.0,9881616.5265
사근동,39125520653.0,3960.0,9880181.9831
구의1동,101963246659.0,10368.0,9834418.0805
능동,5586349185.0,570.0,9800612.6053
답십리2동,33450706259.0,3426.0,9763778.8263
번3동,2742090559.0,282.0,9723725.3865
창신1동,42743663060.0,4404.0,9705645.5631
구로5동,126742253293.0,13074.0,9694221.6072
삼각산동,9145046167.0,948.0,9646673.1719
오류1동,32763044057.0,3402.0,9630524.4142
길동,129983982432.0,13560.0,9585839.4124
우이동,32345802278.0,3384.0,9558452.2098
공릉2동,33588652020.0,3522.0,9536812.0443
신당5동,33154469228.0,3528.0,9397525.2914
휘경1동,30364184666.0,3234.0,9389049.0618
중계본동,27726183929.0,2958.0,9373287.3323
화곡1동,150956520479.0,16110.0,9370361.296
방화1동,43185480720.0,4614.0,9359662.0546
갈현1동,97651950016.0,10482.0,9316156.2694
양평1동,18359880956.0,1974.0,9300851.5481
장안2동,82739204145.0,8958.0,9236347.8617
공릉1동,86602667461.0,9390.0,9222861.2845
면목본동,60699479164.0,6594.0,9205259.1999
신촌동,277056711381.0,30102.0,9203930.3495
흑석동,32905728106.0,3582.0,9186412.0899
천호1동,31346758674.0,3420.0,9165718.9105
독산1동,74782697366.0,8166.0,9157812.5601
목3동,54290612648.0,5934.0,9149075.2693
용신동,103359591491.0,11346.0,9109782.4335
황학동,45904983656.0,5040.0,9108131.6778
목1동,112376495825.0,12348.0,9100785.2142
신월6동,8329585923.0,918.0,9073623.0098
대흥동,26159844775.0,2886.0,9064395.2789
당산1동,109195041227.0,12108.0,9018420.9801
종암동,40091458387.0,4446.0,9017422.0394
신정2동,25827713358.0,2880.0,8967956.0271
용문동,35173243291.0,3978.0,8841941.501
가양1동,219305688645.0,24846.0,8826599.3981
상도1동,60019627342.0,6840.0,8774799.319
장안1동,99912960569.0,11448.0,8727547.2195
개봉1동,17967072421.0,2070.0,8679745.1309
북아현동,8839056126.0,1026.0,8615064.4503
등촌3동,25956118358.0,3024.0,8583372.4729
상도4동,15318605704.0,1788.0,8567452.8546
신월5동,13208572848.0,1542.0,8565870.8482
삼선동,64874274576.0,7620.0,8513684.3276
망우본동,44870454471.0,5292.0,8478921.8577
월계1동,35838188030.0,4236.0,8460384.3319
신정3동,1928698774.0,228.0,8459205.1491
대림3동,80562652545.0,9564.0,8423531.2155
신원동,23473080941.0,2790.0,8413290.6599
월곡2동,31632187354.0,3768.0,8394954.181
충현동,35551597379.0,4236.0,8392728.3709
구로2동,98207416365.0,11730.0,8372328.7609
장위2동,18108025264.0,2166.0,8360122.4672
시흥2동,4307402793.0,516.0,8347679.8314
청파동,55055136658.0,6606.0,8334110.908
화곡6동,73763373247.0,8868.0,8317926.6178
정릉4동,12524514999.0,1512.0,8283409.3909
청구동,5367619657.0,648.0,8283363.6682
공덕동,53653574983.0,6480.0,8279872.6826
신월4동,20730956788.0,2538.0,8168225.6848
번2동,2543316959.0,312.0,8151656.9199
상일동,32626209574.0,4008.0,8140271.8498
공항동,41901349337.0,5148.0,8139345.2481
회기동,75601157839.0,9336.0,8097810.3941
화곡본동,26667892927.0,3300.0,8081179.6748
수궁동,10718034300.0,1338.0,8010489.0135
가양3동,960913139.0,120.0,8007609.4917
방학3동,1776519010.0,222.0,8002337.8829
북가좌2동,28013756529.0,3522.0,7953934.2785
송파1동,116892026728.0,14724.0,7938877.1209
성내3동,75274847308.0,9534.0,7895410.8777
수유2동,19852298081.0,2526.0,7859183.7217
도봉1동,50271451506.0,6432.0,7815835.1222
신대방1동,17725629306.0,2274.0,7794911.7441
등촌1동,19252915238.0,2472.0,7788396.1319
시흥1동,80658038173.0,10386.0,7766034.8713
상계6·7동,4875321568.0,636.0,7665599.9497
마천2동,20390988869.0,2676.0,7619950.9974
역삼2동,19064793810.0,2502.0,7619821.6667
조원동,28366245922.0,3732.0,7600816.1635
장지동,16133202741.0,2124.0,7595669.8404
고덕1동,8783526523.0,1158.0,7585083.3532
이태원2동,44930159117.0,5928.0,7579311.5919
이문1동,31921569208.0,4212.0,7578720.1349
자양3동,7936158462.0,1050.0,7558246.1543
성산1동,32973104646.0,4368.0,7548787.6937
면목3·8동,61076201233.0,8154.0,7490336.1826
중앙동,27862433209.0,3756.0,7418113.2079
성북동,25273707675.0,3420.0,7389973.0044
미아동,47888685925.0,6492.0,7376568.9965
상도2동,23500723641.0,3192.0,7362382.093
청운효자동,37064812582.0,5046.0,7345384.9746
대조동,56189532443.0,7668.0,7327795.0499
장위1동,10475538881.0,1434.0,7305117.7692
갈현2동,34909755234.0,4794.0,7281968.1339
보광동,10220367466.0,1404.0,7279464.0071
제기동,81786992936.0,11292.0,7242914.7127
효창동,5773539652.0,798.0,7235012.0952
연남동,198834091510.0,27510.0,7227702.345
낙성대동,55812366219.0,7734.0,7216494.2099
창신2동,16914883623.0,2346.0,7210095.321
천연동,6602850805.0,918.0,7192647.9357
난곡동,14173535571.0,1974.0,7180109.2052
금호4가동,18693934945.0,2640.0,7081035.964
남현동,14366702908.0,2040.0,7042501.4255
쌍문2동,16216219850.0,2304.0,7038289.8655
방화2동,20052117860.0,2850.0,7035830.8281
우장산동,17233268048.0,2454.0,7022521.617
홍은2동,27938564522.0,3990.0,7002146.4967
방배3동,2477453215.0,354.0,6998455.4096
망우3동,4609794273.0,660.0,6984536.7773
성수2가1동,81176859396.0,11628.0,6981154.0588
서강동,81451045580.0,11700.0,6961627.8274
인수동,17240611831.0,2484.0,6940664.9883
금호2·3가동,20479868869.0,2952.0,6937624.9556
면목5동,9889200720.0,1428.0,6925210.5882
중화2동,31316438216.0,4524.0,6922289.6145
시흥3동,11067441217.0,1608.0,6882737.0752
동화동,6436034816.0,942.0,6832308.7219
정릉3동,17618459669.0,2586.0,6813016.1133
화곡8동,19647331264.0,2916.0,6737767.9232
은천동,11086356391.0,1650.0,6719003.8733
시흥5동,14531706181.0,2178.0,6672041.4054
신도림동,4995906059.0,756.0,6608341.3479
둔촌2동,18913794577.0,2886.0,6553636.3746
대림1동,15186607193.0,2334.0,6506686.8865
합정동,48212116309.0,7476.0,6448918.7144
독산2동,14691535061.0,2292.0,6409919.3111
옥수동,6913391172.0,1080.0,6401288.1222
응암3동,42891835761.0,6702.0,6399856.1267
왕십리2동,8639166080.0,1356.0,6371066.4307
자양2동,20975345962.0,3294.0,6367743.1579
방학2동,20262268692.0,3186.0,6359783.0169
개봉3동,26879190328.0,4272.0,6291945.3015
진관동,12843417208.0,2052.0,6258975.2476
후암동,28090253992.0,4530.0,6200939.0711
답십리1동,15363378612.0,2490.0,6170031.5711
사당3동,3918022851.0,636.0,6160413.2877
인헌동,19216090890.0,3138.0,6123674.5985
보문동,3804576058.0,624.0,6097077.016
행운동,11225030633.0,1848.0,6074150.7754
홍제3동,25423743386.0,4188.0,6070616.8543
대학동,52782097200.0,8700.0,6066907.7241
암사1동,29088828032.0,4800.0,6060172.5067
문정2동,105251275710.0,17376.0,6057278.7586
신정1동,24567925313.0,4080.0,6021550.3218
불광2동,23082361363.0,3846.0,6001654.0205
숭인2동,11791336127.0,1980.0,5955220.2662
서빙고동,4289812462.0,732.0,5860399.5383
남가좌1동,6523841258.0,1116.0,5845735.8943
독산3동,42366494967.0,7248.0,5845266.9656
풍납1동,6294127665.0,1080.0,5827895.9861
염리동,17160204891.0,2946.0,5824916.7994
오류2동,15024354197.0,2586.0,5809881.7467
화곡4동,39586506038.0,6822.0,5802771.3336
사당4동,14824375692.0,2556.0,5799833.9953
응암2동,6939107008.0,1200.0,5782589.1733
거여1동,8224648862.0,1428.0,5759558.0266
신수동,18008187762.0,3132.0,5749740.6648
삼양동,7689205001.0,1338.0,5746789.9858
수유1동,19271365749.0,3390.0,5684768.6575
이문2동,681334165.0,120.0,5677784.7083
자양4동,30845555180.0,5472.0,5636980.1133
전농1동,48068307734.0,8610.0,5582846.4267
성내2동,30774474911.0,5532.0,5562992.5725
면목2동,43177740988.0,7770.0,5556980.8221
독산4동,23263702677.0,4188.0,5554847.8216
월계2동,1839676023.0,336.0,5475226.2589
시흥4동,10701848052.0,1956.0,5471292.4601
반포1동,14556806466.0,2670.0,5451987.4404
용산2가동,21955807553.0,4044.0,5429230.3544
화곡3동,13702508900.0,2538.0,5398939.6769
신길5동,4366885671.0,810.0,5391216.8778
대림2동,34227526876.0,6390.0,5356420.4814
