gu,sex,total_sales
강남구,MALE,4697472480345.0
강남구,FEMALE,5157167795514.0
강동구,MALE,1280683340769.0
강동구,FEMALE,1298508240553.0
강북구,MALE,690151245837.0
강북구,FEMALE,644296085770.0
강서구,MALE,1260065436672.0
강서구,FEMALE,1106971854402.0
관악구,MALE,910486402156.0
관악구,FEMALE,833627453195.0
광진구,MALE,1056500559659.0
광진구,FEMALE,940533685412.0
구로구,MALE,1231784640097.0
구로구,FEMALE,910365338102.0
금천구,MALE,2297748656155.0
금천구,FEMALE,2196144837381.0
노원구,MALE,869772423029.0
노원구,FEMALE,905816084496.0
도봉구,MALE,544239812279.0
도봉구,FEMALE,483687081455.0
동대문구,MALE,2383970814218.0
동대문구,FEMALE,2493248059916.0
동작구,MALE,3108815449769.0
동작구,FEMALE,2106545639980.0
마포구,MALE,1432542071037.0
마포구,FEMALE,1554328812375.0
서대문구,MALE,660099511023.0
서대문구,FEMALE,756288163300.0
서초구,MALE,2560265256568.0
서초구,FEMALE,2734221873401.0
성동구,MALE,751819131776.0
성동구,FEMALE,719282347871.0
성북구,MALE,617869532198.0
성북구,FEMALE,629630462771.0
송파구,MALE,3900138481875.0
송파구,FEMALE,3936921575800.0
양천구,MALE,828038808558.0
양천구,FEMALE,808003926691.0
영등포구,MALE,2369227976507.0
영등포구,FEMALE,1768004263464.0
용산구,MALE,2101053725307.0
용산구,FEMALE,1472766478596.0
은평구,MALE,666065023309.0
은평구,FEMALE,719163098793.0
종로구,MALE,2445753579060.0
종로구,FEMALE,1985197652897.0
중구,MALE,3022892173572.0
중구,FEMALE,3241600317958.0
중랑구,MALE,704086663916.0
중랑구,FEMALE,647195313134.0
