commercial_area,sex,total_sales
4.19민주묘지역 2번,MALE,5877781286.0
4.19민주묘지역 2번,FEMALE,4376087189.0
63빌딩,MALE,6091447264.0
63빌딩,FEMALE,3482104605.0
DMC(디지털미디어시티),MALE,30692557523.0
DMC(디지털미디어시티),FEMALE,26085967275.0
GS강동자이아파트,MALE,2929640997.0
GS강동자이아파트,FEMALE,1876208628.0
G타워,MALE,780219419.0
G타워,FEMALE,415159203.0
KB국민은행 망원동지점,MALE,6353187530.0
KB국민은행 망원동지점,FEMALE,4072623618.0
KB국민은행 서강지점,MALE,1561707739.0
KB국민은행 서강지점,FEMALE,1671328803.0
KB국민은행 종암동지점,MALE,1051769188.0
KB국민은행 종암동지점,FEMALE,620034634.0
KB국민은행 중화동지점,MALE,1275413887.0
KB국민은행 중화동지점,FEMALE,596275660.0
KC대학교,MALE,106821523.0
KC대학교,FEMALE,73299729.0
KT&G 북부지사,MALE,1149520773.0
KT&G 북부지사,FEMALE,574708531.0
KT구로지사,MALE,1360147011.0
KT구로지사,FEMALE,816114290.0
KT금천빌딩(금천구시설관리공단),MALE,1202678139.0
KT금천빌딩(금천구시설관리공단),FEMALE,1185142614.0
KT대방빌딩,MALE,142694704.0
KT대방빌딩,FEMALE,141074555.0
KT월곡지사,MALE,1969237076.0
KT월곡지사,FEMALE,1131550013.0
NH농협은행 보광동지점,MALE,454976105.0
NH농협은행 보광동지점,FEMALE,264774380.0
NH농협은행 상도동지점,MALE,6616198127.0
NH농협은행 상도동지점,FEMALE,4488042763.0
Sh수협은행 오금동금융센터(아랫말어린이공원),MALE,638912475.0
Sh수협은행 오금동금융센터(아랫말어린이공원),FEMALE,315610012.0
가락시장,MALE,34093684202.0
가락시장,FEMALE,13491997205.0
가락시장역,MALE,34589430434.0
가락시장역,FEMALE,16672416835.0
가로수길,MALE,57639495295.0
가로수길,FEMALE,51350440422.0
가리봉시장,MALE,327412887.0
가리봉시장,FEMALE,175862869.0
가리봉파출소,MALE,837554838.0
가리봉파출소,FEMALE,414602140.0
가산동우체국,MALE,5987390313.0
가산동우체국,FEMALE,3257574169.0
가산동주민센터,MALE,7366330453.0
가산동주민센터,FEMALE,4157502022.0
가산디지털단지,MALE,123458538493.0
가산디지털단지,FEMALE,76010786388.0
가산디지털단지역 1번 출입구,MALE,3260200283.0
가산디지털단지역 1번 출입구,FEMALE,1435687326.0
가산초등학교(세일중학교),MALE,3636753570.0
가산초등학교(세일중학교),FEMALE,1761010923.0
가양역 10번,MALE,3324736857.0
가양역 10번,FEMALE,2836148589.0
가오리역 1번,MALE,1239863882.0
가오리역 1번,FEMALE,923817398.0
가오리역 2번,MALE,1558226070.0
가오리역 2번,FEMALE,1266042409.0
가인초등학교,MALE,1492372989.0
가인초등학교,FEMALE,963827875.0
가좌역 2번,MALE,1645563608.0
가좌역 2번,FEMALE,929480709.0
가좌역 3번,MALE,672387079.0
가좌역 3번,FEMALE,207615107.0
간데메공원,MALE,2263257805.0
간데메공원,FEMALE,1925051838.0
갈산공원,MALE,2626281020.0
갈산공원,FEMALE,553925381.0
갈현건영아파트,MALE,89181116.0
갈현건영아파트,FEMALE,61662440.0
강남 마이스 관광특구,MALE,47703209949.0
강남 마이스 관광특구,FEMALE,58950682570.0
강남개포시장,MALE,13753522878.0
강남개포시장,FEMALE,9632383024.0
강남골목시장,MALE,2033523026.0
강남골목시장,FEMALE,1013646231.0
"강남구청(청담역_8번, 강남세무서)",MALE,8664690338.0
"강남구청(청담역_8번, 강남세무서)",FEMALE,6597525187.0
강남구청역,MALE,36019663251.0
강남구청역,FEMALE,29769721499.0
강남구청역 2번,MALE,1677985704.0
강남구청역 2번,FEMALE,877369148.0
강남구청역 4번,MALE,99303220.0
강남구청역 4번,FEMALE,139120172.0
강남세브란스병원미래의학연구센터,MALE,274419048.0
강남세브란스병원미래의학연구센터,FEMALE,234774134.0
강남시장(강남구 강남시장),MALE,3993514074.0
강남시장(강남구 강남시장),FEMALE,2505922371.0
강남시장(동작구 강남시장),MALE,460212135.0
강남시장(동작구 강남시장),FEMALE,286506597.0
강남언주로,MALE,8142512481.0
강남언주로,FEMALE,4119021338.0
강남역,MALE,237660562911.0
강남역,FEMALE,190418529688.0
강남을지병원,MALE,24603179555.0
강남을지병원,FEMALE,14660065257.0
강동구립 천호도서관,MALE,1239474863.0
강동구립 천호도서관,FEMALE,597955454.0
강동구립성내도서관,MALE,3794063202.0
강동구립성내도서관,FEMALE,2287200701.0
강동구청(강동구청역 2번),MALE,327181289.0
강동구청(강동구청역 2번),FEMALE,339619101.0
강동구청역,MALE,21458463382.0
강동구청역,FEMALE,14379992235.0
강동성심병원,MALE,2443695186.0
강동성심병원,FEMALE,1818766928.0
강동역 4번(강풀만화거리),MALE,13034641690.0
강동역 4번(강풀만화거리),FEMALE,7545724726.0
강변역(테크노마트),MALE,11837403341.0
강변역(테크노마트),FEMALE,10541383720.0
강북구청,MALE,6632744197.0
강북구청,FEMALE,3659494812.0
강북문화예술회관,MALE,1205386869.0
강북문화예술회관,FEMALE,645629720.0
강북북부골목시장,MALE,648561839.0
강북북부골목시장,FEMALE,130585676.0
강북종합전통시장(강북종합골목시장),MALE,14377516190.0
강북종합전통시장(강북종합골목시장),FEMALE,7200643266.0
강북중학교,MALE,2030837240.0
강북중학교,FEMALE,1419875768.0
강서고등학교,MALE,1023600348.0
강서고등학교,FEMALE,539208996.0
강서구다솔마을,MALE,4268004086.0
강서구다솔마을,FEMALE,1256767312.0
강서구청,MALE,37707668031.0
강서구청,FEMALE,18953329161.0
강서구청가양동별관,MALE,487204556.0
강서구청가양동별관,FEMALE,310835028.0
강서구청옆,MALE,2945304814.0
강서구청옆,FEMALE,1512050450.0
강서농산물도매시장,MALE,4488639888.0
강서농산물도매시장,FEMALE,1946820837.0
강서새말어린이공원,MALE,103097159.0
강서새말어린이공원,FEMALE,51251620.0
강일동주민센터,MALE,3581376577.0
강일동주민센터,FEMALE,2791859136.0
개나리아파트,MALE,6957363451.0
