commercial_area,time,total_sales
4.19민주묘지역 2번,00-06,340094962.0
4.19민주묘지역 2번,06-11,381935227.0
4.19민주묘지역 2번,11-14,3189964473.0
4.19민주묘지역 2번,14-17,1998517062.0
4.19민주묘지역 2번,17-21,3900742766.0
4.19민주묘지역 2번,21-24,1055285885.0
63빌딩,00-06,26978147.0
63빌딩,06-11,642059205.0
63빌딩,11-14,8583067090.0
63빌딩,14-17,3400622973.0
63빌딩,17-21,4867767569.0
63빌딩,21-24,1250674366.0
DMC(디지털미디어시티),00-06,758091615.0
DMC(디지털미디어시티),06-11,7454884638.0
DMC(디지털미디어시티),11-14,47342779430.0
DMC(디지털미디어시티),14-17,10013047062.0
DMC(디지털미디어시티),17-21,20116378357.0
DMC(디지털미디어시티),21-24,3747339395.0
GS강동자이아파트,00-06,128269248.0
GS강동자이아파트,06-11,279121171.0
GS강동자이아파트,11-14,1254696184.0
GS강동자이아파트,14-17,840321342.0
GS강동자이아파트,17-21,1920046404.0
GS강동자이아파트,21-24,861592857.0
G타워,00-06,30038026.0
G타워,06-11,57356229.0
G타워,11-14,635531910.0
G타워,14-17,108542003.0
G타워,17-21,522005779.0
G타워,21-24,211888825.0
KB국민은행 망원동지점,00-06,851079505.0
KB국민은행 망원동지점,06-11,200378817.0
KB국민은행 망원동지점,11-14,1962443088.0
KB국민은행 망원동지점,14-17,1178981234.0
KB국민은행 망원동지점,17-21,4836362672.0
KB국민은행 망원동지점,21-24,2650572329.0
KB국민은행 서강지점,00-06,14408211.0
KB국민은행 서강지점,06-11,469278864.0
KB국민은행 서강지점,11-14,1320544401.0
KB국민은행 서강지점,14-17,655398508.0
KB국민은행 서강지점,17-21,984672955.0
KB국민은행 서강지점,21-24,207211199.0
KB국민은행 종암동지점,00-06,0.0
KB국민은행 종암동지점,06-11,148852194.0
KB국민은행 종암동지점,11-14,636853881.0
KB국민은행 종암동지점,14-17,223420159.0
KB국민은행 종암동지점,17-21,597984373.0
KB국민은행 종암동지점,21-24,152432476.0
KB국민은행 중화동지점,00-06,129655099.0
KB국민은행 중화동지점,06-11,107154544.0
KB국민은행 중화동지점,11-14,688494339.0
KB국민은행 중화동지점,14-17,224728379.0
KB국민은행 중화동지점,17-21,651212044.0
KB국민은행 중화동지점,21-24,197152068.0
KC대학교,00-06,327985.0
KC대학교,06-11,2412135.0
KC대학교,11-14,59671762.0
KC대학교,14-17,35001555.0
KC대학교,17-21,83464002.0
KC대학교,21-24,16715090.0
KT&G 북부지사,00-06,1633757.0
KT&G 북부지사,06-11,6315364.0
KT&G 북부지사,11-14,433439584.0
KT&G 북부지사,14-17,293618465.0
KT&G 북부지사,17-21,932835437.0
KT&G 북부지사,21-24,182185978.0
KT구로지사,00-06,12726172.0
KT구로지사,06-11,43587904.0
KT구로지사,11-14,457653413.0
KT구로지사,14-17,223660604.0
KT구로지사,17-21,1307578592.0
KT구로지사,21-24,465039291.0
KT금천빌딩(금천구시설관리공단),00-06,23088469.0
KT금천빌딩(금천구시설관리공단),06-11,185929320.0
KT금천빌딩(금천구시설관리공단),11-14,1113607501.0
KT금천빌딩(금천구시설관리공단),14-17,474865763.0
KT금천빌딩(금천구시설관리공단),17-21,729876811.0
KT금천빌딩(금천구시설관리공단),21-24,248963660.0
KT대방빌딩,00-06,0.0
KT대방빌딩,06-11,11641684.0
KT대방빌딩,11-14,192545451.0
KT대방빌딩,14-17,49515039.0
KT대방빌딩,17-21,85720538.0
