구,상권명,업종명,점포수
강남구,역삼역,한식음식점,1397.0
강남구,선릉역,한식음식점,1011.0
강남구,신논현역,한식음식점,944.0
강남구,포스코사거리,한식음식점,702.0
강남구,뱅뱅사거리,한식음식점,636.0
강남구,압구정로데오역(압구정로데오),한식음식점,586.0
강남구,논현역,한식음식점,563.0
강남구,역삼역,커피-음료,517.0
강남구,언주역(차병원),한식음식점,507.0
강남구,구역삼세무서,한식음식점,487.0
강남구,압구정로데오역(압구정로데오),호프-간이주점,462.0
강남구,학동사거리,한식음식점,434.0
강남구,학동사거리,양식음식점,433.0
강남구,압구정로데오역(압구정로데오),양식음식점,428.0
강남구,삼성중앙역,한식음식점,414.0
강남구,압구정역,한식음식점,406.0
강남구,삼성역,한식음식점,398.0
강남구,가로수길,한식음식점,353.0
강남구,역삼역,양식음식점,353.0
강남구,신논현역,커피-음료,351.0
강남구,강남구청역,한식음식점,350.0
강남구,가로수길,커피-음료,346.0
강남구,청담사거리(청담동명품거리),한식음식점,342.0
강남구,강남을지병원,한식음식점,342.0
강남구,역삼역,호프-간이주점,329.0
강남구,선릉역,커피-음료,327.0
강남구,신논현역,호프-간이주점,321.0
강남구,가로수길,양식음식점,311.0
강남구,학동역,한식음식점,294.0
강남구,도산공원교차로,한식음식점,290.0
강남구,뱅뱅사거리,커피-음료,278.0
강남구,포스코사거리,커피-음료,267.0
강남구,가로수길,호프-간이주점,264.0
강남구,선정릉역,한식음식점,259.0
강남구,청담사거리(청담동명품거리),양식음식점,255.0
강남구,영동전통시장,한식음식점,249.0
강남구,논현역,커피-음료,243.0
강남구,대청초등학교,한식음식점,234.0
강남구,역삼역,일식음식점,228.0
강남구,학동사거리,호프-간이주점,225.0
강남구,압구정로데오역(압구정로데오),커피-음료,223.0
강남구,매봉역,한식음식점,219.0
강남구,선릉역,호프-간이주점,217.0
강남구,가로수길,일식음식점,201.0
강남구,강남을지병원,커피-음료,199.0
강남구,삼성역,커피-음료,199.0
강남구,강남 마이스 관광특구,한식음식점,197.0
강남구,봉은사역,한식음식점,196.0
강남구,포스코사거리,호프-간이주점,191.0
강남구,역삼역,분식전문점,191.0
강남구,르네상스호텔사거리,한식음식점,190.0
강남구,강남언주로,한식음식점,190.0
강남구,강남구청역,커피-음료,188.0
강남구,선정릉역,커피-음료,187.0
강남구,학동사거리,일식음식점,182.0
강남구,선릉역,일식음식점,180.0
강남구,역삼역,중식음식점,179.0
강남구,한티역,한식음식점,179.0
강남구,구역삼세무서,커피-음료,179.0
강남구,포스코사거리,일식음식점,176.0
강남구,압구정로데오역(압구정로데오),일식음식점,175.0
강남구,신논현역,양식음식점,170.0
강남구,강남을지병원,호프-간이주점,165.0
강남구,압구정역,커피-음료,164.0
강남구,언주역(차병원),커피-음료,164.0
강남구,신논현역,일식음식점,164.0
강남구,논현역,호프-간이주점,162.0
강남구,삼성중앙역,커피-음료,160.0
강남구,청담사거리(청담동명품거리),커피-음료,157.0
강남구,학동사거리,커피-음료,157.0
강남구,학동역,커피-음료,151.0
강남구,성수대교남단,양식음식점,151.0
강남구,수서역,한식음식점,151.0
강남구,경복아파트교차로,한식음식점,150.0
강남구,개나리아파트,한식음식점,149.0
강남구,포스코사거리,양식음식점,149.0
강남구,강남을지병원,양식음식점,146.0
강남구,청담사거리(청담동명품거리),일식음식점,141.0
강남구,선릉역,양식음식점,140.0
강남구,역삼역,패스트푸드점,140.0
강남구,성수대교남단,한식음식점,136.0
강남구,은마아파트,한식음식점,136.0
강남구,도곡1동,한식음식점,134.0
강남구,강남 마이스 관광특구,양식음식점,134.0
강남구,대치사거리,한식음식점,129.0
강남구,서울세관,한식음식점,128.0
강남구,삼성중앙역,호프-간이주점,123.0
강남구,논현초등학교,커피-음료,123.0
강남구,강남개포시장,한식음식점,120.0
강남구,르네상스호텔사거리,커피-음료,118.0
강남구,압구정역,일식음식점,118.0
강남구,매봉역,양식음식점,116.0
강남구,논현2동주민센터,한식음식점,115.0
강남구,성수대교남단,커피-음료,115.0
강남구,논현역,양식음식점,111.0
강남구,선릉역,분식전문점,110.0
강남구,강남을지병원,일식음식점,109.0
강남구,선릉역,중식음식점,108.0
강남구,청담사거리(청담동명품거리),호프-간이주점,108.0
강남구,싸리고개근린공원,분식전문점,104.0
강남구,구역삼세무서,양식음식점,101.0
강남구,강남 마이스 관광특구,커피-음료,100.0
강남구,삼성역,양식음식점,99.0
강남구,압구정로데오역(압구정로데오),제과점,98.0
강남구,서울세관,호프-간이주점,95.0
강남구,압구정역,호프-간이주점,94.0
강남구,대치역,한식음식점,94.0
강남구,코엑스,한식음식점,93.0
강남구,신논현역,분식전문점,92.0
강남구,강남구청역,호프-간이주점,91.0
강남구,압구정로데오역(압구정로데오),분식전문점,90.0
강남구,압구정역,양식음식점,90.0
강남구,대청초등학교,커피-음료,89.0
강남구,한티역,커피-음료,89.0
강남구,뱅뱅사거리,호프-간이주점,89.0
강남구,삼성역,일식음식점,88.0
강남구,언주역 3번,한식음식점,88.0
강남구,성수대교남단,호프-간이주점,87.0
강남구,개나리아파트,커피-음료,87.0
강남구,매봉역,커피-음료,85.0
강남구,압구정역,분식전문점,85.0
강남구,"강남구청(청담역_8번, 강남세무서)",한식음식점,84.0
강남구,강남구청역,양식음식점,84.0
강남구,압구정역,제과점,84.0
강남구,삼성중앙역,양식음식점,82.0
강남구,강남 마이스 관광특구,제과점,82.0
강남구,뱅뱅사거리,일식음식점,82.0
강남구,학동역,양식음식점,79.0
강남구,대치동아우편취급국,한식음식점,78.0
강남구,"강남구청(청담역_8번, 강남세무서)",커피-음료,76.0
강남구,영동전통시장,호프-간이주점,75.0
강남구,강남 마이스 관광특구,일식음식점,75.0
강남구,성수대교남단,일식음식점,75.0
강남구,포스코사거리,분식전문점,74.0
강남구,가로수길,제과점,74.0
강남구,포스코사거리,중식음식점,73.0
강남구,언주역(차병원),양식음식점,72.0
강남구,코엑스,양식음식점,72.0
강남구,경기고교사거리(경기고교앞사거리),한식음식점,72.0
강남구,삼성역,제과점,71.0
강남구,역삼역,제과점,71.0
강남구,대치사거리,커피-음료,70.0
강남구,언주역(차병원),호프-간이주점,70.0
강남구,도곡1동,커피-음료,69.0
강남구,도산공원교차로,양식음식점,69.0
강남구,논현초등학교,한식음식점,69.0
강남구,봉은사역,커피-음료,68.0
강남구,구역삼세무서,호프-간이주점,66.0
강남구,학동사거리,제과점,66.0
강남구,강남시장(강남구 강남시장),한식음식점,65.0
