구,동,업종명,점포수
강남구,개포2동,한식음식점,179.0
강남구,개포2동,커피-음료,37.0
강남구,개포2동,분식전문점,36.0
강남구,개포2동,호프-간이주점,32.0
강남구,개포2동,일식음식점,23.0
강남구,개포2동,양식음식점,22.0
강남구,개포2동,패스트푸드점,12.0
강남구,개포2동,중식음식점,8.0
강남구,개포2동,치킨전문점,6.0
강남구,개포2동,제과점,3.0
강남구,개포4동,한식음식점,140.0
강남구,개포4동,커피-음료,108.0
강남구,개포4동,분식전문점,29.0
강남구,개포4동,패스트푸드점,23.0
강남구,개포4동,양식음식점,22.0
강남구,개포4동,제과점,21.0
강남구,개포4동,호프-간이주점,21.0
강남구,개포4동,중식음식점,16.0
강남구,개포4동,일식음식점,10.0
강남구,개포4동,치킨전문점,8.0
강남구,논현1동,한식음식점,2167.0
강남구,논현1동,커피-음료,904.0
강남구,논현1동,호프-간이주점,649.0
강남구,논현1동,양식음식점,413.0
강남구,논현1동,일식음식점,313.0
강남구,논현1동,분식전문점,256.0
강남구,논현1동,중식음식점,151.0
강남구,논현1동,패스트푸드점,128.0
강남구,논현1동,제과점,98.0
강남구,논현1동,치킨전문점,86.0
강남구,논현2동,한식음식점,1284.0
강남구,논현2동,커피-음료,570.0
강남구,논현2동,호프-간이주점,285.0
강남구,논현2동,양식음식점,271.0
강남구,논현2동,일식음식점,171.0
강남구,논현2동,분식전문점,166.0
강남구,논현2동,중식음식점,102.0
강남구,논현2동,제과점,81.0
강남구,논현2동,패스트푸드점,78.0
강남구,논현2동,치킨전문점,38.0
강남구,대치1동,한식음식점,94.0
강남구,대치1동,분식전문점,32.0
강남구,대치1동,커피-음료,30.0
강남구,대치1동,양식음식점,20.0
강남구,대치1동,제과점,20.0
강남구,대치1동,일식음식점,13.0
강남구,대치1동,중식음식점,12.0
강남구,대치1동,호프-간이주점,12.0
강남구,대치1동,패스트푸드점,8.0
강남구,대치1동,치킨전문점,2.0
강남구,대치2동,한식음식점,462.0
강남구,대치2동,커피-음료,250.0
강남구,대치2동,양식음식점,111.0
강남구,대치2동,일식음식점,100.0
강남구,대치2동,분식전문점,84.0
강남구,대치2동,제과점,77.0
강남구,대치2동,중식음식점,54.0
강남구,대치2동,패스트푸드점,33.0
강남구,대치2동,호프-간이주점,21.0
강남구,대치2동,치킨전문점,12.0
강남구,대치4동,한식음식점,1626.0
강남구,대치4동,커피-음료,643.0
강남구,대치4동,일식음식점,320.0
강남구,대치4동,호프-간이주점,319.0
강남구,대치4동,분식전문점,314.0
강남구,대치4동,양식음식점,279.0
강남구,대치4동,중식음식점,172.0
강남구,대치4동,제과점,156.0
강남구,대치4동,패스트푸드점,139.0
강남구,대치4동,치킨전문점,45.0
강남구,도곡1동,분식전문점,108.0
강남구,도곡1동,커피-음료,24.0
강남구,도곡1동,양식음식점,12.0
강남구,도곡1동,한식음식점,12.0
강남구,도곡1동,제과점,7.0
강남구,도곡1동,일식음식점,4.0
강남구,도곡1동,호프-간이주점,4.0
강남구,도곡1동,패스트푸드점,0.0
강남구,도곡2동,한식음식점,219.0
강남구,도곡2동,양식음식점,128.0
강남구,도곡2동,커피-음료,94.0
강남구,도곡2동,일식음식점,53.0
강남구,도곡2동,호프-간이주점,52.0
강남구,도곡2동,제과점,30.0
강남구,도곡2동,분식전문점,28.0
강남구,도곡2동,패스트푸드점,24.0
강남구,도곡2동,중식음식점,17.0
강남구,도곡2동,치킨전문점,0.0
강남구,삼성1동,한식음식점,539.0
강남구,삼성1동,커피-음료,268.0
강남구,삼성1동,양식음식점,266.0
강남구,삼성1동,일식음식점,140.0
강남구,삼성1동,제과점,119.0
강남구,삼성1동,분식전문점,106.0
강남구,삼성1동,중식음식점,104.0
강남구,삼성1동,호프-간이주점,52.0
강남구,삼성1동,패스트푸드점,52.0
강남구,삼성1동,치킨전문점,16.0
강남구,삼성2동,한식음식점,1383.0
강남구,삼성2동,커피-음료,643.0
강남구,삼성2동,호프-간이주점,363.0
강남구,삼성2동,일식음식점,291.0
강남구,삼성2동,양식음식점,285.0
강남구,삼성2동,분식전문점,154.0
강남구,삼성2동,중식음식점,132.0
강남구,삼성2동,패스트푸드점,87.0
강남구,삼성2동,제과점,84.0
강남구,삼성2동,치킨전문점,24.0
강남구,세곡동,한식음식점,131.0
강남구,세곡동,커피-음료,72.0
강남구,세곡동,양식음식점,23.0
강남구,세곡동,분식전문점,21.0
강남구,세곡동,호프-간이주점,20.0
강남구,세곡동,패스트푸드점,17.0
강남구,세곡동,치킨전문점,16.0
강남구,세곡동,중식음식점,16.0
강남구,세곡동,일식음식점,12.0
강남구,세곡동,제과점,8.0
강남구,수서동,한식음식점,151.0
강남구,수서동,커피-음료,54.0
강남구,수서동,일식음식점,41.0
강남구,수서동,호프-간이주점,21.0
강남구,수서동,패스트푸드점,16.0
강남구,수서동,중식음식점,16.0
강남구,수서동,제과점,10.0
강남구,수서동,분식전문점,10.0
강남구,수서동,치킨전문점,8.0
강남구,수서동,양식음식점,8.0
강남구,신사동,한식음식점,868.0
강남구,신사동,커피-음료,578.0
강남구,신사동,양식음식점,429.0
강남구,신사동,호프-간이주점,380.0
강남구,신사동,일식음식점,340.0
강남구,신사동,제과점,185.0
강남구,신사동,분식전문점,164.0
강남구,신사동,중식음식점,105.0
강남구,신사동,패스트푸드점,84.0
강남구,신사동,치킨전문점,31.0
강남구,압구정동,한식음식점,1382.0
강남구,압구정동,양식음식점,841.0
강남구,압구정동,호프-간이주점,785.0
강남구,압구정동,커피-음료,611.0
강남구,압구정동,일식음식점,465.0
강남구,압구정동,제과점,185.0
강남구,압구정동,분식전문점,175.0
강남구,압구정동,패스트푸드점,124.0
강남구,압구정동,중식음식점,117.0
강남구,압구정동,치킨전문점,8.0
강남구,역삼1동,한식음식점,3318.0
강남구,역삼1동,커피-음료,1401.0
강남구,역삼1동,양식음식점,687.0
강남구,역삼1동,호프-간이주점,660.0
강남구,역삼1동,일식음식점,491.0
강남구,역삼1동,분식전문점,388.0
강남구,역삼1동,중식음식점,321.0
강남구,역삼1동,패스트푸드점,305.0
강남구,역삼1동,제과점,190.0
강남구,역삼1동,치킨전문점,102.0
강남구,역삼2동,한식음식점,182.0
강남구,역삼2동,커피-음료,110.0
강남구,역삼2동,일식음식점,42.0
강남구,역삼2동,호프-간이주점,31.0
강남구,역삼2동,양식음식점,17.0
강남구,역삼2동,중식음식점,16.0
강남구,역삼2동,제과점,16.0
강남구,역삼2동,분식전문점,16.0
강남구,역삼2동,치킨전문점,12.0
강남구,역삼2동,패스트푸드점,9.0
강남구,일원1동,한식음식점,234.0
강남구,일원1동,커피-음료,89.0
강남구,일원1동,호프-간이주점,53.0
강남구,일원1동,분식전문점,48.0
강남구,일원1동,제과점,28.0
강남구,일원1동,양식음식점,26.0
강남구,일원1동,일식음식점,22.0
강남구,일원1동,중식음식점,15.0
강남구,일원1동,치킨전문점,13.0
강남구,일원1동,패스트푸드점,3.0
강남구,청담동,한식음식점,1087.0
강남구,청담동,양식음식점,796.0
강남구,청담동,커피-음료,527.0
강남구,청담동,일식음식점,441.0
강남구,청담동,호프-간이주점,401.0
강남구,청담동,제과점,169.0
강남구,청담동,분식전문점,149.0
강남구,청담동,중식음식점,124.0
강남구,청담동,패스트푸드점,83.0
강남구,청담동,치킨전문점,17.0
강동구,강일동,한식음식점,43.0
강동구,강일동,양식음식점,9.0
강동구,강일동,제과점,8.0
강동구,강일동,분식전문점,8.0
강동구,강일동,커피-음료,8.0
강동구,강일동,일식음식점,7.0
강동구,강일동,패스트푸드점,6.0
강동구,강일동,치킨전문점,4.0
강동구,강일동,중식음식점,4.0
강동구,강일동,호프-간이주점,0.0
강동구,고덕1동,한식음식점,103.0
강동구,고덕1동,커피-음료,45.0
강동구,고덕1동,호프-간이주점,24.0
강동구,고덕1동,제과점,19.0
강동구,고덕1동,분식전문점,17.0
강동구,고덕1동,중식음식점,8.0
강동구,고덕1동,패스트푸드점,7.0
강동구,고덕1동,양식음식점,5.0
강동구,고덕1동,일식음식점,4.0
강동구,고덕1동,치킨전문점,0.0
강동구,고덕2동,한식음식점,202.0
강동구,고덕2동,커피-음료,63.0
강동구,고덕2동,호프-간이주점,29.0
