구,업종명,점포수
강남구,한식음식점,15458.0
강남구,커피-음료,7013.0
강남구,양식음식점,4656.0
강남구,호프-간이주점,4161.0
강남구,일식음식점,3292.0
강남구,분식전문점,2284.0
강남구,중식음식점,1498.0
강남구,제과점,1487.0
강남구,패스트푸드점,1225.0
강남구,치킨전문점,444.0
강동구,한식음식점,6632.0
강동구,커피-음료,2189.0
강동구,호프-간이주점,1874.0
강동구,분식전문점,1127.0
강동구,일식음식점,738.0
강동구,제과점,732.0
강동구,양식음식점,572.0
강동구,중식음식점,508.0
강동구,패스트푸드점,369.0
강동구,치킨전문점,322.0
강북구,한식음식점,4753.0
강북구,호프-간이주점,1764.0
강북구,커피-음료,1276.0
강북구,분식전문점,716.0
강북구,중식음식점,337.0
강북구,일식음식점,336.0
강북구,제과점,282.0
강북구,치킨전문점,258.0
강북구,양식음식점,253.0
강북구,패스트푸드점,227.0
강서구,한식음식점,7894.0
강서구,호프-간이주점,2620.0
강서구,커피-음료,2435.0
강서구,분식전문점,1284.0
강서구,일식음식점,827.0
강서구,중식음식점,692.0
강서구,제과점,691.0
강서구,양식음식점,690.0
강서구,패스트푸드점,424.0
강서구,치킨전문점,345.0
관악구,한식음식점,6069.0
관악구,호프-간이주점,2385.0
관악구,커피-음료,2082.0
관악구,분식전문점,1275.0
관악구,중식음식점,744.0
관악구,일식음식점,692.0
관악구,양식음식점,591.0
관악구,제과점,565.0
관악구,패스트푸드점,373.0
관악구,치킨전문점,342.0
광진구,한식음식점,5896.0
광진구,커피-음료,2373.0
광진구,호프-간이주점,2360.0
광진구,분식전문점,1077.0
광진구,중식음식점,899.0
광진구,양식음식점,752.0
광진구,일식음식점,691.0
광진구,제과점,576.0
광진구,패스트푸드점,329.0
광진구,치킨전문점,269.0
구로구,한식음식점,6119.0
구로구,호프-간이주점,2164.0
구로구,커피-음료,1487.0
구로구,중식음식점,1461.0
구로구,분식전문점,1069.0
구로구,일식음식점,459.0
구로구,제과점,399.0
구로구,양식음식점,322.0
구로구,패스트푸드점,271.0
구로구,치킨전문점,252.0
금천구,한식음식점,5172.0
금천구,호프-간이주점,1481.0
금천구,커피-음료,1415.0
금천구,중식음식점,885.0
금천구,분식전문점,841.0
금천구,일식음식점,376.0
금천구,제과점,325.0
금천구,양식음식점,280.0
금천구,치킨전문점,237.0
금천구,패스트푸드점,187.0
노원구,한식음식점,4481.0
노원구,커피-음료,1357.0
노원구,호프-간이주점,1349.0
노원구,분식전문점,967.0
노원구,제과점,518.0
노원구,양식음식점,453.0
노원구,일식음식점,442.0
노원구,중식음식점,407.0
노원구,치킨전문점,316.0
노원구,패스트푸드점,240.0
도봉구,한식음식점,3661.0
도봉구,호프-간이주점,1125.0
도봉구,커피-음료,901.0
도봉구,분식전문점,626.0
도봉구,제과점,272.0
도봉구,중식음식점,250.0
도봉구,일식음식점,247.0
도봉구,치킨전문점,243.0
도봉구,양식음식점,202.0
도봉구,패스트푸드점,125.0
동대문구,한식음식점,6919.0
동대문구,커피-음료,1993.0
동대문구,호프-간이주점,1667.0
동대문구,분식전문점,1167.0
동대문구,중식음식점,692.0
동대문구,양식음식점,619.0
동대문구,제과점,484.0
동대문구,일식음식점,465.0
동대문구,패스트푸드점,299.0
동대문구,치킨전문점,270.0
동작구,한식음식점,4669.0
