commercial_area,total_sales
노량진역(노량진),4377254155412.0
가산디지털단지,3004121701306.0
용산전자상가(용산역),2481580235065.0
명동 남대문 북창동 다동 무교동 관광특구,1870694024447.0
가락시장,1726507007884.0
강남역,1672942354635.0
잠실 관광특구,1441904433132.0
종로3가역,1293889371602.0
잠실역,1280755861216.0
종로·청계 관광특구,1001960255501.0
여의도역(여의도),790517430873.0
청량리종합시장,713019870967.0
청량리청과물시장,684099564894.0
독산동 우시장,660748064293.0
홍대입구역(홍대),635867960874.0
영등포역(영등포),628846214929.0
잠실새내역(신천),617479519369.0
역삼역,606872593210.0
압구정역,596588411879.0
구로역,589433150772.0
신사역,562581993516.0
삼성역,562255011391.0
노원역,552080702302.0
은마아파트,547435051704.0
신논현역,531162610107.0
영등포청과시장(조광시장),531157516242.0
선릉역,530157780561.0
강남 마이스 관광특구,519818877858.0
압구정로데오역(압구정로데오),513069784845.0
남대문시장(자유상가),496547877432.0
학동사거리,490036237546.0
청담사거리(청담동명품거리),484493835125.0
동대문패션타운 관광특구,483053959178.0
교대역(법원.검찰청),470166070654.0
명동(명동거리),454267009205.0
수유역,454129196992.0
종각역,436469892783.0
동서시장,434322864236.0
강서농산물도매시장,419088481257.0
"신촌역(신촌역, 신촌로터리)",407157348485.0
논현역,397828527728.0
구로디지털단지,393729501967.0
동대문역사문화공원역,388893602714.0
포스코사거리,381250077413.0
을지로3가역,377617812551.0
가로수길,375796940265.0
이태원 관광특구,368649544824.0
경동시장,357739020871.0
건대입구역(건대),351973926330.0
이태원(이태원역),338837537634.0
천호역,327929420223.0
대림3동사거리,312621142790.0
국회의사당역(국회의사당),307334629360.0
고덕역,307055858010.0
서울대입구역,305301948038.0
성수대교남단,304271312281.0
"총신대입구역(이수, 총신대)",303663585752.0
포이사거리(삼호물산),302506704879.0
장한평역(장한평),300390949317.0
양재역,298481738163.0
연남동(홍대),289763547107.0
뱅뱅사거리,282526878992.0
광화문역,281560404494.0
고속터미널(고속터미널역),281013388847.0
경동광성상가(경동시장),279302556400.0
장안동사거리,268950714359.0
목동신시가지,267574911189.0
장지역(가든파이브),266952235528.0
청량리농수산물시장,266769961119.0
방이동먹자골목,263839681862.0
성수역,258037952893.0
대치역,257649719370.0
종로5가역,257499586434.0
강변역(테크노마트),254973383144.0
발산역(마곡),253576573667.0
문래예술촌(문래창작촌),248033465148.0
신림역(신림),245863404038.0
북창동(시청역_6번),245554339132.0
서울역,243824286335.0
군자역,239217636616.0
사당역(사당),238937775207.0
대학로(혜화역),238404123674.0
강남구청역,236600389901.0
방배역,235069899584.0
한티역,232308961341.0
강남을지병원,230021900796.0
성신여대,224957866960.0
문정역,223192867743.0
중부시장(신중부시장),218598443792.0
길동역,218585249406.0
구로디지털단지역,215650699247.0
도산공원교차로,210429195516.0
수서역,204733270794.0
학동역,204136731043.0
오목교역,203570766458.0
등나무근린공원,202896461589.0
합정역,201409934523.0
"강남구청(청담역_8번, 강남세무서)",200280303427.0
청량리역(청량리),198779668369.0
서울약령시장,197627168727.0
성수동카페거리,195116830293.0
대치사거리,192236621899.0
충무로역,185801891343.0
삼호가든사거리,184917043652.0
영등포역지하도상점가,184505989118.0
을지로입구역,182097076854.0
신정네거리역,180212453064.0
서초역,179126545750.0
DMC(디지털미디어시티),179080346792.0
명일역,178721069925.0
신용산역(용산역),178560451077.0
서초3동사거리,177832422657.0
미아사거리역,176449499372.0
방산종합시장(방산시장),174392281450.0
둔촌역,174025440825.0
서울시청,173837097679.0
영일시장,164084221052.0
내방역,163162566602.0
가락시장역,163009969723.0
목동역 8번출구,162946469201.0
남정초등학교,162751183770.0
신설동역,161755160257.0
연신내역,159353521784.0
창동역,156866537997.0
은행사거리,155438777388.0
구의역,154765606884.0
휘문고교사거리,153463259891.0
언주역(차병원),150217367424.0
약수역,149763519676.0
을지로4가역,149505180883.0
연신내상점가(연빛거리),148376100115.0
석촌역(석촌호수),148207930346.0
장안1동주민센터,148066028418.0
북촌(안국역),146281454427.0
명동역(명동재미로),144649432141.0
공덕역(공덕오거리),144594435920.0
독산동,143741933146.0
인왕시장(홍제골목형상점가),143215965122.0
인사동,142512052861.0
석촌고분역,142453344979.0
홍대 걷고싶은 거리,142159514050.0
마천역(마천초등학교),141060043381.0
"양재시민의숲역(양재동꽃시장, aT센터)",140684934079.0
구로전화국,140530196621.0
신대방삼거리역,139558569632.0
"수유전통시장(수유시장, 수유골목시장)",138708966730.0
당산역,138178137386.0
서래마을카페거리(서래마을),138111306839.0
한남오거리,137708775378.0
로데오거리상점가,137642181834.0
보라매공원,137487868919.0
서울중앙시장(신중앙시장),137030321218.0
뚝섬역,136479566286.0
선정릉역,136151929930.0
삼성중앙역,135694133883.0
신도림역,132707401699.0
시청역_8번,132374042502.0
영등포구청역,131737522344.0
신당역,131310388462.0
올림픽대교북단,129854358274.0
남부터미널역,128587834560.0
청량리수산시장,127949090487.0
연희동,127067866651.0
도화동 상점가,126756924389.0
구산역,126644291983.0
"동원전통종합시장(동원시장, 동원전통시장 상점가)",126616631930.0
매봉역,124396869303.0
화곡역,123743786725.0
남성사계시장(남성시장),123152702036.0
동대문문구완구거리(동대문문구완구시장),121363331924.0
영동전통시장,121089665933.0
대림역,118786829427.0
상봉역,118419079985.0
서원동상점가,118343453572.0
방이역 4번,118338552853.0
암사역,118020002974.0
새마을시장,117840798481.0
대청초등학교,116766982169.0
아차산역,116002551535.0
홍제역,115696875392.0
서교동(홍대),114858288727.0
경찰병원역,113586104879.0
강서구청,113242956301.0
코엑스,112715208299.0
교대입구교차로,111835500588.0
까치산역,110234008662.0
한성대입구역,109862751343.0
성수초등학교,108671409118.0
삼전역 1번,108334448185.0
마포역,107700511738.0
구역삼세무서,107493270933.0
남구로시장,106859388169.0
남영동 먹자골목,106802539965.0
마들역,105842189835.0
개롱역,104984565172.0
롯데백화점(시청광장 지하쇼핑센터),104824723498.0
양재천카페거리,104669800457.0
비단길현대시장(현대시장),103283102513.0
서촌(경복궁역),103136511874.0
63빌딩,102483369127.0
거여역,102364695649.0
등촌역,99710107259.0
"이화여대(이대역, 이대)",99459933189.0
영림시장,98832377583.0
구로구청,97922938389.0
교육개발원입구사거리,97882190053.0
방이역 1번,97479865959.0
미아역,96545640005.0
용산용문시장,96259639383.0
중림동,95894008265.0
광장시장(광장전통시장),95496813534.0
대림상가(청계상가),95288076035.0
서대문역,94973669200.0
종로구청,94766912372.0
등촌1동주민센터,94347873052.0
망원역,93584199375.0
천호공원(해공체육문화센터),93440532270.0
원남동사거리,93172347441.0
왕십리도선동상점가,93012371637.0
도성초등학교,91124477757.0
도곡1동,90038042666.0
오류동역,89466016770.0
구삼강변맛길,89092749975.0
동묘앞역(동묘),88961216278.0
본서부병원,86828513712.0
합정역 8번,86208697883.0
영중로,85256030018.0
굽은다리역,85217028996.0
강동구청역,85150918171.0
송파사거리(송파역),85009578384.0
왕십리역(왕십리),84541288620.0
행당시장상점가,84199487668.0
경희대학교(경희대),83391063720.0
사가정역,83312356522.0
상암동상점가,83121254918.0
장평중학교,82952576500.0
대명여울빛거리시장(대명시장),82740506677.0
상도역 5번,82307341079.0
성대전통시장(성대시장),81878917831.0
등촌3동주민센터,81287165107.0
성동용답상가시장,81080402669.0
동대부고,80331705512.0
도봉산입구,79176494466.0
신방화역 2번,78935136123.0
몽촌토성역,78157374898.0
상계역,77804521579.0
영등포시장역 3번,77787822091.0
녹두거리(대학동),76608816338.0
삼청동,75628232909.0
"남부골목시장(남부화곡시장, 남부시장)",75297790444.0
개봉동 현대아파트,74604531641.0
방이시장,74096424928.0
어린이대공원역,72781747630.0
까치산시장,72703688857.0
홍대소상공인상점가,72595416462.0
석촌시장,72255634987.0
우림골목시장,71395922258.0
강동역 4번(강풀만화거리),71223272991.0
수락산역 4번,71189764429.0
삼전역 4번,70614844547.0
봉은사역,70348441211.0
길동주민센터(강동도서관),70209656421.0
"중곡제일시장(중곡제일골목시장, 광성시장)",69865799423.0
샤로수길,69542796892.0
목동사거리,69515275180.0
목동깨비시장(목3동시장),69501415662.0
송화벽화시장(송화골목시장),69201220668.0
르네상스호텔사거리,68399459109.0
송파나루역 1번(송리단길),68371510654.0
종로신진시장,68359847034.0
문정동 로데오거리 상점가(문정동 로데오거리),68041264606.0
백학시장,67992881271.0
까치산역 3번,67909123100.0
망리단길,67823469137.0
도곡초등학교,67783299789.0
숙대입구,67145487709.0
쌍문시장(쌍문역골목시장),66600505700.0
뚝섬역상점가,66123171079.0
상일여고(상일초등학교),66094046755.0
세종마을음식문화거리(금천교시장),65904899282.0
시청역_1번,65529319192.0
연서시장,64863049292.0
석촌고분역 1번,64858535996.0
금호역,64715206707.0
방배동카페골목,64682945341.0
돈암시장(돈암제일시장),64500741201.0
사당1동먹자골목상점가(사당1동먹자골목),64355233264.0
방이역,63976612971.0
종로4가,63430496749.0
구로4동주민센터,62763390239.0
사당역 10번,62551946131.0
방학동도깨비시장,62257820465.0
인헌시장(원당종합시장),61745382548.0
공릉역,61103067581.0
성심여자고등학교,61077478210.0
신곡종합시장(신월6동 골목시장),61011485614.0
청량리전통시장,60787638923.0
암사종합시장,60204719666.0
구의사거리,59920795627.0
상수역(홍대),59771546805.0
고덕 골목형상점가,59737708275.0
강남개포시장,59495246829.0
양재역 8번(양재동우체국),59468054204.0
관악구 중앙길,59362200687.0
신내1동주민센터,58956199736.0
우장산역 4번,58755145979.0
월곡역,58570563312.0
방현초등학교(방배119안전센터),58557241091.0
양천향교역 5번,58461798641.0
남강고등학교(남강중학교),58335434371.0
성원중학교,58306708614.0
마곡역(마곡),58121304123.0
남성역골목시장,57951072378.0
중계초등학교,57879985776.0
"숙대입구역(남영역, 남영동)",57068625816.0
개나리아파트,56989442211.0
관악구신사동주민센터,56141451449.0
서울세관,55889036947.0
석계역 7번,55827095349.0
대림성모병원,55826253532.0
아현역 4번,55696489283.0
경춘선숲길 우측,55691416406.0
한국SGI본부,55359109378.0
청량종합도매시장,55177756111.0
동평화시장,55069860990.0
경복아파트교차로,54505015095.0
남천초등학교,54488344637.0
경의선책거리,54394211612.0
보라매역,54163618886.0
"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",54094159523.0
양천향교역 7번,54026791812.0
선유도역 1번,53969830691.0
면목골목시장(면목시장),53586174656.0
방학역 1번,53176401374.0
신정2동주민센터,52967501588.0
송정역 3번,52829329219.0
쌍문역1번(쌍리단길),52780671243.0
제일시장,52498160646.0
수락산디자인거리,52458661705.0
영등포전통시장,51677601805.0
불광먹자골목 골목형상점가,51133531145.0
용강동 상점가,50916447963.0
장승배기역,50909195218.0
"한양대앞상점가(한양시장, 왕십리맛골목)",50406283370.0
사당역 4번,50224877302.0
응암역,50204142867.0
둔촌역전통시장,50190469359.0
서울남부지방법원,50174380311.0
영신초등학교,49962703432.0
암사역 2번(서울강동초등학교),49575124628.0
삼익패션타운(남대문시장),49080512863.0
중랑동부시장,49055195991.0
신우어린이공원,48629548675.0
명지대학교,48033857914.0
안암역 3번,47799784155.0
망원월드컵시장,47744428412.0
경수초등학교,47688314938.0
고척근린시장,47675465682.0
정릉시장,47587770093.0
도신초등학교,47530537188.0
중화역 1번,47483908970.0
송파나루역,47373859780.0
응암오거리상점가,47098854697.0
강서구다솔마을,46524598035.0
염곡동 구룡사(포이동성당),46451569898.0
화곡역 4번,46272162785.0
목2동시장,46259159879.0
석촌역 7번,45905886871.0
중부경찰서(영화인의거리),45552360533.0
종암경찰서,45523460745.0
먹골역 5번,45391762150.0
구산역 4번,44993541690.0
외대앞역 1번,44970406979.0
양평역 2번,44949890178.0
남구로역 3번,44913353296.0
모래내시장(서중시장),44677572172.0
개포고등학교,44452997249.0
공릉동 도깨비시장,44419049166.0
남가좌파출소,44400316853.0
태릉입구역,44309123163.0
"이화여대 3,5,7길 상점가",44302600903.0
회현역,44261037564.0
뚝도시장,43722159488.0
구립대학경로당(관악산샘말공원),43444623595.0
문래역(문래로데오거리),43183522411.0
당산2동(영등포우체국),43102938363.0
상봉역 3번,42724487952.0
개봉중앙시장,42069546752.0
창동역상점가,41977788473.0
구로보건소,41960106791.0
강북종합전통시장(강북종합골목시장),41869464892.0
공릉동 국수거리,41851933443.0
삼성중앙역 5번,41827293877.0
신대방역 2번,41753279043.0
응암동우체국,41702904646.0
대흥역 3번,41635608379.0
통인시장,41540664714.0
제기동역 6번,41455187668.0
사가정시장,41443912812.0
상계중앙시장,40717546364.0
동대문역,40367652294.0
공군호텔,40235906206.0
응암정보도서관,40186718266.0
신창초등학교,40168886726.0
신정롯데캐슬아파트,40142585948.0
중앙대학교,39967412310.0
망원시장,39764344523.0
신영시장,39749500474.0
대림중앙시장,39567597418.0
남구로역 2번,39561451133.0
회기역,39518856923.0
삼각지역,39332148935.0
오류2동버들시장,39238876045.0
가양역 10번,38973277588.0
미아사거리,38284445310.0
숭실대입구역 1번,38172486683.0
영천시장,38108333130.0
삼육보건대학교,38106454028.0
성내천어린이공원(하니사랑길),38067154319.0
그라운드 고척,37946737804.0
구의역 4번,37905601702.0
숭곡초등학교,37756829977.0
약수시장,37623602727.0
장충초등학교,37566987498.0
장안근린공원,37552403380.0
능동우편취급국,37469794604.0
개봉역,37165277703.0
문래동주민센터,37122686772.0
상계백병원,36657194520.0
"신림역 5번(신림동주민센터, 신림동별빛거리)",36560213768.0
선유도역 골목형상점가,36361933003.0
한강진역 3번,36318679086.0
면목역 2번,36236911059.0
문성초등학교,36133052708.0
대흥역 2번,36129218974.0
간데메공원,36125911426.0
안암역,36013355030.0
메가박스 상봉,36002495478.0
쌍문2동우체국,35935076724.0
중화역 4번,35821437815.0
광진정보도서관,35643931123.0
정릉역 1번,35552241164.0
까치산역 4번,35508459537.0
화곡본동시장,35442240220.0
한강로동땡땡거리(은행나무길),35410737811.0
신한은행 신월동지점,35373713321.0
우장산역 1번,35322665614.0
굽은다리역 4번,35220350913.0
서울시흥동우체국(홈플러스시흥점),35162472495.0
서울역 12번,35121747324.0
서울축산농협 독산역지점(독산파출소),35117290895.0
신대방역 4번,35112879903.0
개봉1동주민센터,35088239846.0
문정역 2번,34940184836.0
마천중앙시장,34845851575.0
쌍문역동측상점가,34809412929.0
홍대입구역 3번,34729020475.0
석촌역 3번,34718850755.0
시흥동 은행나무사거리,34419708002.0
건대입구역 6번,34191088867.0
삼전역 3번,34174936673.0
경성고등학교,34085740204.0
마포시장,34070839993.0
