gu,total_sales
강남구,3670160421272.0
중구,2659382190825.0
종로구,2154006582778.0
서초구,2117789158308.0
송파구,1899247635252.0
영등포구,1709364378700.0
마포구,1680621401343.0
용산구,1237281319050.0
강동구,808373274766.0
광진구,778658028731.0
강서구,771523770143.0
동작구,750024918848.0
구로구,727011983282.0
성동구,665900821709.0
관악구,658618928932.0
노원구,617630328902.0
동대문구,616063234009.0
금천구,588450256285.0
성북구,573398593543.0
서대문구,562462363213.0
은평구,483124688612.0
강북구,482610504233.0
중랑구,469816911977.0
양천구,456429700968.0
도봉구,303668560933.0
