commercial_area,weekend_sales,weekday_sales,total_shops,weekend_per_shop,weekday_per_shop,weekend_index
마포농수산물시장,1193215328.0,691732525.0,84.0,14204944.38095238,8234911.011904762,1.7249663488065707
굽은다리역 3번,4242796068.0,3661084523.0,1092.0,3885344.3846153845,3352641.504578755,1.1588904985245543
하나고등학교,383869004.0,335511720.0,168.0,2284934.5476190476,1997093.5714285714,1.1441299397827296
도봉산역 1번,9364234417.0,9550726322.0,1716.0,5457013.063519813,5565691.32983683,0.9804735369109658
이태원(이태원역),101867649135.0,105298342517.0,15756.0,6465324.265993907,6683063.119890835,0.9674193030963795
암사역 4번(삼성광나루아파트),932484486.0,982971854.0,90.0,10360938.733333332,10921909.48888889,0.9486380329258134
북한산우이역 2번,4593718679.0,4855674623.0,822.0,5588465.546228711,5907146.743309002,0.9460515861670001
대림중앙 골목형상점가,3508529219.0,3786214703.0,480.0,7309435.872916667,7887947.297916667,0.9266588120900866
자하문터널,1996579278.0,2210789905.0,714.0,2796329.5210084035,3096344.404761905,0.9031067463644855
이태원 관광특구,103559641783.0,114834044546.0,16662.0,6215318.796242948,6891972.425039011,0.9018200324862395
신대림초등학교,335241057.0,373612875.0,90.0,3724900.6333333333,4151254.1666666665,0.8972952471190936
밤나무골시장,41709071.0,47358295.0,96.0,434469.4895833333,493315.5729166667,0.8807131042196514
해방촌 남동측,7870615316.0,9448233292.0,3198.0,2461105.4771732334,2954419.4158849283,0.8330250823362079
불광중학교,161991475.0,195281584.0,354.0,457603.03672316385,551642.8926553673,0.8295276578666014
금북초등학교,132714851.0,160092412.0,144.0,921630.9097222222,1111752.861111111,0.8289890154194193
정독도서관,234872172.0,287519422.0,186.0,1262753.6129032257,1545803.3440860214,0.8168915002896743
가리봉시장,228571519.0,282717900.0,432.0,529100.738425926,654439.5833333334,0.8084791199991228
부암동주민센터,94875749.0,118641212.0,78.0,1216355.7564102565,1521041.1794871795,0.7996862759628586
신당 미래유산 먹거리 골목형상점가,4244173983.0,5338346949.0,312.0,13603121.740384616,17110086.375,0.7950352465935238
청량초등학교,141731121.0,178681850.0,210.0,674910.1,850865.9523809524,0.7932037921031151
해방촌예술마을,484131481.0,613924724.0,1116.0,433809.57078853046,550111.7598566308,0.788584434009535
동진시장,50382234.0,63964056.0,108.0,466502.1666666667,592259.7777777778,0.7876647784812146
불광역 7번,2865411995.0,3648297580.0,1068.0,2682970.0327715357,3416008.9700374533,0.7854107106580928
대동초등학교,2395998331.0,3051360093.0,852.0,2812204.613849765,3581408.5598591547,0.785223067082958
대림역 11번,57260490.0,73341286.0,240.0,238585.375,305588.69166666665,0.7807401959109362
망원시장,2705779545.0,3522830135.0,1176.0,2300832.9464285714,2995603.856292517,0.7680698305937479
신흥시장,2013453944.0,2623505001.0,846.0,2379969.2009456265,3101069.7411347516,0.7674671644355673
연산군묘,535377503.0,702086686.0,72.0,7435798.652777778,9751203.972222222,0.7625518524645545
아카데미하우스,4133679229.0,5445924699.0,678.0,6096872.019174041,8032337.314159292,0.7590408346555069
서연중학교,1990647286.0,2644375001.0,840.0,2369818.1976190475,3148065.4773809523,0.7527855486635648
연희어린이공원,76040720.0,101039968.0,36.0,2112242.222222222,2806665.777777778,0.7525806025591772
석관시장,277699494.0,369832773.0,18.0,15427749.666666666,20546265.166666668,0.7508785436925028
아차산역 1번,2798826114.0,3747585503.0,1482.0,1888546.6356275303,2528735.157219973,0.7468344916372145
대원종합시장,18859818.0,25334719.0,54.0,349255.8888888889,469161.462962963,0.744425781868747
대림중앙시장,2649333399.0,3566932029.0,1110.0,2386786.845945946,3213452.2783783786,0.7427484957549775
체부동홍종문가옥,61468867.0,83161163.0,96.0,640300.6979166666,866262.1145833334,0.7391535277110061
대신고등학교,1066811056.0,1443667551.0,96.0,11112615.166666666,15038203.65625,0.7389589488667533
정릉역 2번,1766395787.0,2397504243.0,162.0,10903677.697530864,14799408.907407407,0.7367644049671032
대림썬프라자,471035888.0,642005555.0,366.0,1286983.300546448,1754113.5382513662,0.7336944117251445
북정마을,92790229.0,126985613.0,96.0,966564.8854166666,1322766.8020833333,0.7307145022798764
봉천현대시장,1134383104.0,1553616896.0,66.0,17187622.78787879,23539649.939393938,0.7301562611224333
아래방죽마을공원(율현초등학교),588727451.0,813336233.0,216.0,2725590.050925926,3765445.5231481483,0.7238426460216484
KT&G 북부지사,770830057.0,1079198528.0,222.0,3472207.463963964,4861254.630630631,0.7142615904309313
대림차이나타운(대림역 12번),1693336649.0,2375373494.0,780.0,2170944.421794872,3045350.6333333333,0.7128717455495864
월드컵경기장역(월드컵경기장),4467453418.0,6268630899.0,480.0,9307194.620833334,13059647.70625,0.7126681232280988
광장시장(광장전통시장),14221822306.0,19956822011.0,2352.0,6046693.157312925,8485043.37202381,0.712629610975188
영신상가(제일상가),305395573.0,430249591.0,114.0,2678908.535087719,3774119.2192982454,0.7098102575535046
러스크서울병원,2379015517.0,3357725673.0,726.0,3276880.877410468,4624966.491735538,0.7085199175531335
황학동벼룩시장,334029767.0,476016088.0,246.0,1357844.581300813,1935024.7479674798,0.7017194910437564
홍대소상공인상점가,15391023082.0,21973222445.0,3540.0,4347746.633333334,6207124.984463277,0.7004445124298199
중계초등학교,696817123.0,995329522.0,108.0,6452010.398148148,9216014.092592593,0.7000868632930994
연트럴파크(연남동주민센터),3467584725.0,4977196336.0,3138.0,1105030.1864244742,1586104.6322498408,0.6966943819191945
마천중앙시장,4619867470.0,6631631552.0,1164.0,3968958.3075601375,5697277.965635739,0.6966411559168599
서래초등학교,1244711312.0,1801655732.0,174.0,7153513.287356322,10354343.287356323,0.6908707861841387
독산동 우시장,4809301335.0,6963900009.0,672.0,7156698.415178572,10362946.441964285,0.6906045935157827
청계산원터골,1412085836.0,2045966238.0,342.0,4128905.9532163744,5982357.421052632,0.6901804192919434
홍대입구역(홍대),140620218692.0,203970784558.0,29406.0,4782024.712371625,6936366.202747739,0.6894135304559463
봉일시장,264534603.0,384179776.0,144.0,1837045.8541666667,2667915.111111111,0.6885698298704823
장승배기역 5번,151045450.0,220451932.0,72.0,2097853.472222222,3061832.388888889,0.6851627410550432
국기원,3753119032.0,5504935135.0,228.0,16461048.385964911,24144452.34649123,0.6817735250208357
디지털단지오거리,1899582840.0,2788584168.0,1602.0,1185757.0786516855,1740689.2434456928,0.6811997506829424
방화초등학교,328478779.0,483964124.0,24.0,13686615.791666666,20165171.833333332,0.6787254730476675
청담역 12번,62183080.0,92198533.0,48.0,1295480.8333333333,1920802.7708333333,0.6744476075340591
노원초등학교,7757415478.0,11600479770.0,774.0,10022500.61757106,14987699.96124031,0.6687150559118642
신내역 1번,855503944.0,1279937876.0,192.0,4455749.708333333,6666343.104166667,0.6683948963785489
KT월곡지사,1396901646.0,2090903058.0,378.0,3695507.0,5531489.571428572,0.6680853235425321
도봉산입구,6355391616.0,9544024798.0,2490.0,2552366.1108433735,3832941.685943775,0.6659026721443353
대원고등학교,788043774.0,1189040559.0,180.0,4378020.966666667,6605780.883333334,0.6627560078041038
삼구시장(로타리상가),632816447.0,955273445.0,258.0,2452776.926356589,3702610.2519379845,0.6624453451650171
사당5동주민센터,460828017.0,696468423.0,192.0,2400145.921875,3627439.703125,0.6616639057590125
신진과학기술고등학교,772721354.0,1169489592.0,270.0,2861930.940740741,4331442.933333334,0.6607338443076969
대림역 5번,1399062509.0,2125966600.0,966.0,1448304.8747412008,2200793.5817805384,0.6580830145685261
평창동동측,328773904.0,499939347.0,276.0,1191209.7971014492,1811374.4456521738,0.6576275821714829
신도봉시장,277830196.0,422483434.0,96.0,2894064.5416666665,4400869.104166667,0.6576120473400621
삼청동,21846433670.0,33255778051.0,3816.0,5724956.412473795,8714826.533280922,0.6569214419370074
큰굴다리,230734804.0,352104165.0,132.0,1747990.9393939395,2667455.7954545454,0.6553026829432705
상계제일중학교,1544264528.0,2358566545.0,144.0,10724059.222222222,16378934.340277778,0.6547470671428522
구로119안전센터,746910713.0,1144106357.0,534.0,1398709.2003745318,2142521.267790262,0.6528332863725186
대림역 2번,4543434148.0,6966506499.0,1614.0,2815014.9615861215,4316298.946096654,0.6521825751044922
